household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,16800,24000,31800,42900,42900,53800,66700,120300
1,1980,0,16300,23400,30900,41800,41800,52600,65100,118300
1,1981,0,16100,23300,31000,42000,42000,52700,65600,119600
1,1982,0,15900,23200,31100,43000,43000,54500,67400,125500
1,1983,0,15400,23000,31500,43800,43800,55900,70200,133200
1,1984,0,16200,24100,33100,46300,46300,59700,75200,143900
1,1985,0,16200,24200,33300,46400,46400,59800,75700,149100
1,1986,0,16400,24700,34100,48100,48100,62100,80200,171700
1,1987,0,16100,24800,34800,48600,48600,62300,78500,155300
1,1988,0,16400,25300,35200,49400,49400,63700,80800,165600
1,1989,0,16900,25600,35600,50000,50000,64600,82500,169000
1,1990,0,17400,25900,35700,49700,49700,64000,81900,163100
1,1991,0,17600,25800,35500,49100,49100,63400,80400,159100
1,1992,0,17700,26300,36000,49900,49900,64500,82600,166300
1,1993,0,18100,26400,36200,50400,50400,64900,82600,160600
1,1994,0,18300,26700,36700,50900,50900,65800,84000,161900
1,1995,0,19200,27800,37600,52300,52300,67700,87100,173500
1,1996,0,19300,27900,38400,53500,53500,69700,90000,182700
1,1997,0,19800,28600,39100,54900,54900,72000,94700,196400
1,1998,0,20900,30100,41000,57300,57300,75400,99500,211700
1,1999,0,21400,30900,42100,59000,59000,77800,102500,224900
1,2000,0,21500,31400,42900,60200,60200,79800,105900,234300
1,2001,0,22000,32000,43500,61000,61000,79400,103900,215000
1,2002,0,22200,31800,43200,60400,60400,78800,102200,207700
1,2003,0,22400,32300,44000,62100,62100,81100,105500,214500
1,2004,0,23000,33200,45000,63700,63700,83700,109200,233700
1,2005,0,23400,33600,45800,64900,64900,86300,115000,258200
1,2006,0,23700,34200,46700,66600,66600,88900,118900,273600
1,2007,0,24800,35400,48200,68300,68300,91100,122400,284600
1,2008,0,25300,35700,48400,67900,67900,89700,118100,255600
1,2009,0,25200,35500,47900,67300,67300,88200,114500,226300
1,2010,0,25400,35700,48100,67300,67300,88700,115500,238300
1,2011,0,25100,35100,47500,67400,67400,89500,117400,243800
1,2012,0,24800,35100,47600,67800,67800,90600,120000,265100
1,2013,0,25100,35200,47800,67800,67800,90800,120000,252500
1,2014,0,25900,36000,48600,69300,69300,92400,123300,263800
1,2015,0,27300,37700,50600,71600,71600,95800,127200,274000
2,1979,0,23700,34000,44900,60700,60700,76100,94300,170200
2,1980,0,23000,33100,43800,59100,59100,74400,92000,167300
2,1981,0,22800,32900,43900,59400,59400,74600,92800,169200
2,1982,0,22400,32800,44100,60800,60800,77100,95300,177400
2,1983,0,21800,32600,44500,62000,62000,79100,99300,188300
2,1984,0,23000,34100,46800,65500,65500,84400,106300,203600
2,1985,0,22900,34200,47100,65600,65600,84600,107000,210900
2,1986,0,23200,35000,48300,68000,68000,87800,113400,242800
2,1987,0,22700,35100,49200,68800,68800,88100,111000,219600
2,1988,0,23200,35700,49800,69800,69800,90100,114200,234200
2,1989,0,24000,36200,50400,70800,70800,91400,116700,238900
2,1990,0,24600,36600,50500,70300,70300,90500,115800,230600
2,1991,0,24900,36500,50200,69500,69500,89700,113700,225000
2,1992,0,25100,37100,50900,70500,70500,91200,116800,235200
2,1993,0,25500,37400,51200,71300,71300,91700,116800,227100
2,1994,0,25900,37800,51800,72000,72000,93000,118700,229000
2,1995,0,27100,39300,53200,74000,74000,95700,123200,245300
2,1996,0,27300,39500,54300,75600,75600,98600,127200,258400
2,1997,0,28000,40400,55300,77700,77700,101900,133900,277700
2,1998,0,29500,42500,58000,81100,81100,106700,140600,299400
2,1999,0,30200,43700,59500,83400,83400,110000,144900,318000
2,2000,0,30400,44400,60600,85200,85200,112900,149800,331300
2,2001,0,31100,45300,61500,86200,86200,112300,146900,304000
2,2002,0,31400,45000,61100,85400,85400,111500,144500,293800
