household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,60700.0,4600.0,65300.0,1400.0,14600.0,52000.0
all_households,all_quintiles,1980,58500.0,4900.0,63400.0,1400.0,14200.0,50600.0
all_households,all_quintiles,1981,58500.0,5100.0,63600.0,1500.0,14400.0,50700.0
all_households,all_quintiles,1982,58100.0,5600.0,63700.0,1400.0,13300.0,51900.0
all_households,all_quintiles,1983,58700.0,5700.0,64400.0,1400.0,13200.0,52600.0
all_households,all_quintiles,1984,62500.0,5500.0,68000.0,1400.0,14200.0,55300.0
all_households,all_quintiles,1985,63400.0,5600.0,69100.0,1500.0,14500.0,56100.0
all_households,all_quintiles,1986,67900.0,5800.0,73700.0,1500.0,15500.0,59800.0
all_households,all_quintiles,1987,65700.0,5700.0,71300.0,1500.0,15500.0,57300.0
all_households,all_quintiles,1988,68600.0,5700.0,74400.0,1500.0,16300.0,59600.0
all_households,all_quintiles,1989,69000.0,5800.0,74900.0,1600.0,16200.0,60300.0
all_households,all_quintiles,1990,68400.0,6100.0,74500.0,1800.0,16100.0,60100.0
all_households,all_quintiles,1991,66300.0,6400.0,72700.0,2000.0,15700.0,59000.0
all_households,all_quintiles,1992,68000.0,6700.0,74700.0,2200.0,16200.0,60700.0
all_households,all_quintiles,1993,68100.0,6900.0,75000.0,2300.0,16600.0,60700.0
all_households,all_quintiles,1994,69000.0,6900.0,75800.0,2400.0,17000.0,61100.0
all_households,all_quintiles,1995,72000.0,7100.0,79000.0,2400.0,17900.0,63500.0
all_households,all_quintiles,1996,74900.0,7200.0,82100.0,2300.0,18800.0,65600.0
all_households,all_quintiles,1997,78600.0,7300.0,85900.0,2200.0,19800.0,68300.0
all_households,all_quintiles,1998,83300.0,7200.0,90500.0,2300.0,20500.0,72300.0
all_households,all_quintiles,1999,87900.0,7000.0,94900.0,2400.0,21900.0,75400.0
all_households,all_quintiles,2000,90300.0,7100.0,97500.0,2500.0,22500.0,77500.0
all_households,all_quintiles,2001,84600.0,7500.0,92100.0,2700.0,19900.0,74900.0
all_households,all_quintiles,2002,80600.0,7900.0,88500.0,2900.0,18400.0,73000.0
all_households,all_quintiles,2003,82000.0,8000.0,90000.0,3100.0,17900.0,75200.0
all_households,all_quintiles,2004,87100.0,8000.0,95100.0,3300.0,19300.0,79100.0
all_households,all_quintiles,2005,92000.0,8200.0,100200.0,3300.0,20900.0,82600.0
all_households,all_quintiles,2006,95500.0,8600.0,104100.0,3200.0,21800.0,85500.0
all_households,all_quintiles,2007,98600.0,8700.0,107400.0,3300.0,22000.0,88700.0
all_households,all_quintiles,2008,90600.0,9100.0,99700.0,3500.0,18500.0,84700.0
all_households,all_quintiles,2009,83300.0,10500.0,93800.0,4000.0,16800.0,81000.0
all_households,all_quintiles,2010,85700.0,10500.0,96100.0,4100.0,17900.0,82300.0
all_households,all_quintiles,2011,85100.0,10200.0,95300.0,4100.0,17500.0,81900.0
all_households,all_quintiles,2012,89500.0,10300.0,99800.0,4100.0,18900.0,85000.0
all_households,all_quintiles,2013,88200.0,10300.0,98500.0,4200.0,20400.0,82300.0
all_households,all_quintiles,2014,91700.0,10300.0,102000.0,4900.0,21600.0,85300.0
all_households,all_quintiles,2015,94500.0,10500.0,105100.0,5200.0,22200.0,88200.0
all_households,lowest_quintile,1979,12200.0,4500.0,16700.0,3100.0,1900.0,17900.0
all_households,lowest_quintile,1980,12100.0,4300.0,16400.0,3100.0,1900.0,17600.0
all_households,lowest_quintile,1981,12300.0,3900.0,16200.0,3300.0,2000.0,17400.0
all_households,lowest_quintile,1982,12200.0,3600.0,15800.0,3400.0,2000.0,17200.0
all_households,lowest_quintile,1983,12300.0,3000.0,15200.0,3600.0,2100.0,16700.0
all_households,lowest_quintile,1984,13100.0,3100.0,16100.0,3300.0,2300.0,17100.0
all_households,lowest_quintile,1985,13200.0,3000.0,16200.0,3500.0,2400.0,17300.0
all_households,lowest_quintile,1986,13100.0,2900.0,16100.0,3600.0,2300.0,17300.0
all_households,lowest_quintile,1987,12500.0,3000.0,15400.0,4100.0,2000.0,17400.0
all_households,lowest_quintile,1988,12900.0,3100.0,16000.0,3700.0,2100.0,17700.0
all_households,lowest_quintile,1989,13700.0,3200.0,16800.0,3700.0,2100.0,18400.0
all_households,lowest_quintile,1990,14400.0,3200.0,17600.0,3900.0,2400.0,19100.0
all_households,lowest_quintile,1991,14800.0,3100.0,17900.0,4200.0,2400.0,19700.0
all_households,lowest_quintile,1992,15000.0,3200.0,18300.0,4000.0,2400.0,19900.0
all_households,lowest_quintile,1993,15400.0,3100.0,18500.0,4300.0,2500.0,20200.0
all_households,lowest_quintile,1994,15200.0,3200.0,18400.0,4300.0,2200.0,20500.0
all_households,lowest_quintile,1995,16500.0,3100.0,19600.0,4100.0,2300.0,21400.0
all_households,lowest_quintile,1996,16700.0,2900.0,19600.0,3800.0,2200.0,21200.0
all_households,lowest_quintile,1997,17600.0,3100.0,20600.0,3300.0,2400.0,21600.0
all_households,lowest_quintile,1998,18600.0,3100.0,21700.0,3600.0,2400.0,22900.0
all_households,lowest_quintile,1999,18800.0,3500.0,22300.0,3400.0,2500.0,23200.0
all_households,lowest_quintile,2000,18600.0,3500.0,22100.0,3500.0,2300.0,23300.0
all_households,lowest_quintile,2001,18000.0,3700.0,21800.0,3800.0,2100.0,23500.0
all_households,lowest_quintile,2002,18000.0,3700.0,21800.0,3700.0,2000.0,23500.0
all_households,lowest_quintile,2003,17500.0,3900.0,21400.0,4000.0,1900.0,23500.0
all_households,lowest_quintile,2004,17700.0,3900.0,21600.0,4100.0,1900.0,23800.0
all_households,lowest_quintile,2005,18400.0,3800.0,22200.0,4200.0,2000.0,24400.0
all_households,lowest_quintile,2006,19700.0,3300.0,23000.0,4500.0,2200.0,25400.0
all_households,lowest_quintile,2007,20700.0,3500.0,24200.0,4500.0,2100.0,26600.0
all_households,lowest_quintile,2008,19900.0,3900.0,23800.0,4600.0,1200.0,27200.0
all_households,lowest_quintile,2009,19100.0,4200.0,23300.0,5000.0,1100.0,27300.0
all_households,lowest_quintile,2010,19400.0,4200.0,23600.0,5200.0,1200.0,27600.0
all_households,lowest_quintile,2011,18800.0,4200.0,23000.0,5300.0,1200.0,27100.0
all_households,lowest_quintile,2012,18400.0,3800.0,22200.0,5600.0,1300.0,26500.0
all_households,lowest_quintile,2013,19200.0,3900.0,23100.0,5600.0,1700.0,27100.0
all_households,lowest_quintile,2014,18900.0,4000.0,22900.0,6500.0,1700.0,27600.0
all_households,lowest_quintile,2015,19400.0,4400.0,23900.0,6900.0,1700.0,29000.0
all_households,second_quintile,1979,30800.0,5600.0,36300.0,2100.0,5800.0,32600.0
all_households,second_quintile,1980,28400.0,6000.0,34400.0,2300.0,5400.0,31300.0
all_households,second_quintile,1981,28200.0,6100.0,34300.0,2300.0,5600.0,30900.0
all_households,second_quintile,1982,26900.0,6600.0,33500.0,2400.0,5100.0,30700.0
all_households,second_quintile,1983,26100.0,6600.0,32700.0,2300.0,4900.0,30100.0
all_households,second_quintile,1984,28200.0,6300.0,34500.0,2400.0,5500.0,31400.0
all_households,second_quintile,1985,27900.0,6400.0,34300.0,2400.0,5500.0,31200.0
all_households,second_quintile,1986,28300.0,6700.0,34900.0,2500.0,5600.0,31800.0
all_households,second_quintile,1987,27100.0,6800.0,33900.0,2200.0,5200.0,30900.0
all_households,second_quintile,1988,27700.0,6800.0,34500.0,2300.0,5400.0,31400.0
all_households,second_quintile,1989,28300.0,6800.0,35100.0,2500.0,5400.0,32200.0
all_households,second_quintile,1990,29500.0,6700.0,36100.0,2800.0,5800.0,33100.0
all_households,second_quintile,1991,28500.0,6900.0,35400.0,3100.0,5600.0,33000.0
all_households,second_quintile,1992,28600.0,7000.0,35600.0,3600.0,5500.0,33700.0
all_households,second_quintile,1993,28600.0,7300.0,35900.0,3900.0,5500.0,34200.0
all_households,second_quintile,1994,28600.0,7400.0,35900.0,3700.0,5400.0,34300.0
all_households,second_quintile,1995,30500.0,7400.0,37900.0,3800.0,5800.0,36000.0
all_households,second_quintile,1996,30800.0,7100.0,37900.0,4000.0,5800.0,36200.0
all_households,second_quintile,1997,32200.0,7100.0,39300.0,4000.0,6100.0,37300.0
all_households,second_quintile,1998,33900.0,7200.0,41100.0,4200.0,6100.0,39100.0
all_households,second_quintile,1999,35400.0,7100.0,42500.0,4200.0,6400.0,40400.0
all_households,second_quintile,2000,35900.0,6800.0,42700.0,4200.0,6400.0,40500.0
all_households,second_quintile,2001,34900.0,7500.0,42400.0,4500.0,5600.0,41200.0
all_households,second_quintile,2002,34200.0,7700.0,41900.0,4600.0,5300.0,41200.0
all_households,second_quintile,2003,33700.0,8000.0,41700.0,4800.0,4900.0,41600.0
all_households,second_quintile,2004,35300.0,7900.0,43100.0,5000.0,5200.0,42900.0
all_households,second_quintile,2005,35400.0,7900.0,43400.0,5300.0,5200.0,43400.0
all_households,second_quintile,2006,36300.0,8000.0,44300.0,4900.0,5500.0,43800.0
all_households,second_quintile,2007,38700.0,7800.0,46500.0,5000.0,5900.0,45700.0
all_households,second_quintile,2008,36900.0,8200.0,45100.0,5400.0,4200.0,46300.0
all_households,second_quintile,2009,35300.0,9300.0,44600.0,5900.0,4000.0,46500.0
all_households,second_quintile,2010,35600.0,9000.0,44600.0,6200.0,4200.0,46500.0
all_households,second_quintile,2011,34400.0,9200.0,43600.0,6200.0,4000.0,45800.0
all_households,second_quintile,2012,34300.0,9100.0,43300.0,6200.0,4000.0,45500.0
all_households,second_quintile,2013,35500.0,8700.0,44200.0,6400.0,4900.0,45800.0
all_households,second_quintile,2014,35500.0,8800.0,44300.0,7300.0,4900.0,46700.0
all_households,second_quintile,2015,37300.0,9100.0,46300.0,7800.0,5200.0,49000.0
all_households,middle_quintile,1979,51200.0,4500.0,55700.0,900.0,10800.0,45800.0
all_households,middle_quintile,1980,49300.0,4800.0,54200.0,1000.0,10600.0,44600.0
all_households,middle_quintile,1981,49000.0,5000.0,54000.0,1000.0,10900.0,44100.0
all_households,middle_quintile,1982,47300.0,5800.0,53000.0,900.0,9900.0,43900.0
all_households,middle_quintile,1983,45700.0,6200.0,52000.0,800.0,9400.0,43400.0
all_households,middle_quintile,1984,49500.0,5700.0,55200.0,900.0,10300.0,45800.0
all_households,middle_quintile,1985,49600.0,5800.0,55400.0,900.0,10400.0,45800.0
all_households,middle_quintile,1986,50000.0,6300.0,56300.0,900.0,10600.0,46600.0
all_households,middle_quintile,1987,49400.0,6600.0,56000.0,800.0,10200.0,46700.0
all_households,middle_quintile,1988,50600.0,6200.0,56800.0,1000.0,10600.0,47100.0
all_households,middle_quintile,1989,51100.0,6300.0,57400.0,1000.0,10700.0,47700.0
all_households,middle_quintile,1990,50700.0,6700.0,57300.0,1400.0,10700.0,48000.0
all_households,middle_quintile,1991,49200.0,7100.0,56300.0,1700.0,10400.0,47600.0
all_households,middle_quintile,1992,48200.0,7800.0,56000.0,2000.0,10100.0,48000.0
all_households,middle_quintile,1993,48400.0,7900.0,56300.0,2300.0,10200.0,48300.0
all_households,middle_quintile,1994,49100.0,7700.0,56800.0,2300.0,10300.0,48800.0
all_households,middle_quintile,1995,51000.0,7900.0,58900.0,2400.0,10800.0,50600.0
all_households,middle_quintile,1996,51900.0,8000.0,59900.0,2300.0,10900.0,51300.0
all_households,middle_quintile,1997,53200.0,7900.0,61100.0,2300.0,11200.0,52100.0
all_households,middle_quintile,1998,55200.0,8200.0,63400.0,2500.0,11300.0,54600.0
all_households,middle_quintile,1999,57400.0,8100.0,65500.0,2600.0,11700.0,56300.0
all_households,middle_quintile,2000,57400.0,8200.0,65600.0,2700.0,11600.0,56700.0
all_households,middle_quintile,2001,56500.0,8700.0,65200.0,3000.0,10600.0,57700.0
all_households,middle_quintile,2002,54300.0,9200.0,63400.0,3600.0,9900.0,57100.0
all_households,middle_quintile,2003,54000.0,9500.0,63500.0,3800.0,9400.0,57900.0
all_households,middle_quintile,2004,55900.0,9500.0,65400.0,4000.0,9800.0,59700.0
all_households,middle_quintile,2005,57300.0,9500.0,66900.0,3900.0,10200.0,60500.0
all_households,middle_quintile,2006,57600.0,10200.0,67800.0,3700.0,10300.0,61200.0
all_households,middle_quintile,2007,60400.0,9800.0,70300.0,3800.0,10800.0,63300.0
all_households,middle_quintile,2008,57700.0,10700.0,68300.0,4100.0,8700.0,63700.0
