year,market_inc,adj_market_inc,inc_before_transfers_taxes,adj_inc_before_transfers_taxes,inc_after_transfers_taxes,adj_inc_after_transfers_taxes
1979,59300,32100,62000,33900,51000,27800
1980,56600,31000,59900,33000,49500,26900
1981,56500,30900,59800,33200,49000,26900
1982,54800,30200,58900,32800,49000,27000
1983,54000,29800,58400,32600,48500,27000
1984,57200,31800,61200,34500,50700,28400
1985,57500,31900,61600,34700,51000,28500
1986,58800,32600,63200,35600,52100,29200
1987,58400,32900,62700,35900,52000,29700
1988,59200,33400,63400,36400,52300,30000
1989,59800,34000,64100,37000,53100,30500
1990,60100,33600,64700,37000,53600,30500
1991,58300,32900,63600,36700,53500,30500
1992,58100,33000,63700,36800,54000,30900
1993,58500,33000,64000,36900,54500,31000
1994,59300,33500,64600,37400,54900,31400
1995,61300,34700,66600,38500,57000,32400
1996,62100,35100,67900,39200,57700,32800
1997,63600,36100,69300,40000,58800,33400
1998,66100,37700,71700,41500,61600,35200
1999,68700,38800,74200,42700,63500,36200
2000,69000,39200,74700,43200,64200,36800
2001,68100,38700,74200,43100,65100,37400
2002,65800,37500,72400,42200,64600,37200
2003,65600,37400,72300,42300,65600,37800
2004,67900,38800,74700,43500,67700,38800
2005,69400,39500,76000,44200,68700,39300
2006,69800,40200,77000,45200,69600,40000
2007,72400,41500,80100,46600,72300,41400
2008,69500,39700,77500,45200,72900,41500
2009,65800,37500,75800,44200,72600,41300
2010,65600,37600,76100,44600,72400,41400
2011,64800,37200,74400,43700,71400,41000
2012,64800,37300,74500,43700,71300,40800
2013,66200,38200,75800,44600,71500,41100
2014,67700,39000,77300,45100,73500,41900
2015,70200,40400,79900,46900,76800,43600
