household_type,income_group,year,federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,14600.0,7300.0,4500.0,2200.0,600.0
all_households,all_quintiles,1980,14200.0,7500.0,4400.0,1800.0,500.0
all_households,all_quintiles,1981,14400.0,7700.0,4800.0,1400.0,500.0
all_households,all_quintiles,1982,13300.0,7100.0,4800.0,900.0,500.0
all_households,all_quintiles,1983,13200.0,6600.0,4900.0,1100.0,600.0
all_households,all_quintiles,1984,14200.0,6900.0,5300.0,1400.0,700.0
all_households,all_quintiles,1985,14500.0,7100.0,5500.0,1300.0,700.0
all_households,all_quintiles,1986,15500.0,7700.0,5700.0,1400.0,700.0
all_households,all_quintiles,1987,15500.0,7400.0,5800.0,1700.0,700.0
all_households,all_quintiles,1988,16300.0,7800.0,6100.0,1800.0,700.0
all_households,all_quintiles,1989,16200.0,7700.0,6100.0,1700.0,600.0
all_households,all_quintiles,1990,16100.0,7600.0,6300.0,1600.0,600.0
all_households,all_quintiles,1991,15700.0,7200.0,6300.0,1500.0,700.0
all_households,all_quintiles,1992,16200.0,7400.0,6300.0,1600.0,700.0
all_households,all_quintiles,1993,16600.0,7600.0,6400.0,1900.0,800.0
all_households,all_quintiles,1994,17000.0,7600.0,6500.0,2000.0,800.0
all_households,all_quintiles,1995,17900.0,8100.0,6700.0,2200.0,800.0
all_households,all_quintiles,1996,18800.0,8800.0,6800.0,2400.0,800.0
all_households,all_quintiles,1997,19800.0,9500.0,7000.0,2500.0,800.0
all_households,all_quintiles,1998,20500.0,10000.0,7400.0,2300.0,800.0
all_households,all_quintiles,1999,21900.0,10900.0,7700.0,2400.0,900.0
all_households,all_quintiles,2000,22500.0,11500.0,7800.0,2400.0,800.0
all_households,all_quintiles,2001,19900.0,9600.0,7800.0,1600.0,800.0
all_households,all_quintiles,2002,18400.0,8600.0,7600.0,1400.0,800.0
all_households,all_quintiles,2003,17900.0,7700.0,7600.0,2000.0,800.0
all_households,all_quintiles,2004,19300.0,8400.0,7700.0,2500.0,800.0
all_households,all_quintiles,2005,20900.0,9100.0,7700.0,3300.0,800.0
all_households,all_quintiles,2006,21800.0,9600.0,7800.0,3600.0,700.0
all_households,all_quintiles,2007,22000.0,10100.0,8100.0,3200.0,600.0
all_households,all_quintiles,2008,18500.0,8000.0,8000.0,1900.0,600.0
all_households,all_quintiles,2009,16800.0,7000.0,7700.0,1400.0,600.0
all_households,all_quintiles,2010,17900.0,7600.0,7600.0,2000.0,600.0
all_households,all_quintiles,2011,17500.0,8300.0,6600.0,1900.0,600.0
all_households,all_quintiles,2012,18900.0,9200.0,6600.0,2300.0,700.0
all_households,all_quintiles,2013,20400.0,9400.0,7800.0,2500.0,700.0
all_households,all_quintiles,2014,21600.0,10200.0,7900.0,2700.0,800.0
all_households,all_quintiles,2015,22200.0,10600.0,8200.0,2600.0,800.0
all_households,lowest_quintile,1979,1900.0,200.0,1200.0,300.0,300.0
