household_type,income_group,year,all_means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,48.7,46.4,63.0,32.3,50.8
all_households,lowest_quintile,1980,45.6,42.7,60.2,28.4,47.9
all_households,lowest_quintile,1981,46.0,41.3,61.1,27.8,49.1
all_households,lowest_quintile,1982,47.2,41.6,63.9,26.1,52.4
all_households,lowest_quintile,1983,47.9,42.0,65.0,22.8,54.6
all_households,lowest_quintile,1984,46.3,41.6,61.4,28.2,51.1
all_households,lowest_quintile,1985,46.7,40.5,63.8,25.4,54.0
all_households,lowest_quintile,1986,46.4,40.7,64.7,24.6,54.1
all_households,lowest_quintile,1987,50.1,43.3,71.8,26.1,59.7
all_households,lowest_quintile,1988,45.9,38.9,68.6,18.0,57.8
all_households,lowest_quintile,1989,43.6,36.8,66.5,17.7,55.6
all_households,lowest_quintile,1990,41.4,35.5,62.4,16.3,52.2
all_households,lowest_quintile,1991,39.2,33.2,58.1,16.0,50.8
all_households,lowest_quintile,1992,34.0,29.5,52.4,13.2,44.1
all_households,lowest_quintile,1993,33.3,28.8,51.4,13.8,43.7
all_households,lowest_quintile,1994,33.5,27.7,53.0,17.2,44.2
all_households,lowest_quintile,1995,32.3,27.0,52.2,18.1,43.1
all_households,lowest_quintile,1996,30.8,26.0,49.2,18.7,40.9
all_households,lowest_quintile,1997,28.8,25.7,46.8,17.4,38.1
all_households,lowest_quintile,1998,29.1,26.2,48.1,18.3,39.7
all_households,lowest_quintile,1999,27.9,25.4,48.5,16.6,40.1
all_households,lowest_quintile,2000,27.3,25.4,47.9,16.0,38.3
all_households,lowest_quintile,2001,27.3,25.1,49.7,16.2,39.3
all_households,lowest_quintile,2002,25.1,23.5,45.4,13.7,35.9
all_households,lowest_quintile,2003,24.9,23.0,47.6,12.5,35.9
all_households,lowest_quintile,2004,24.9,22.9,48.3,12.6,36.3
all_households,lowest_quintile,2005,25.8,23.0,48.6,14.4,38.5
all_households,lowest_quintile,2006,27.2,25.5,50.7,16.4,30.3
all_households,lowest_quintile,2007,27.4,25.6,49.7,17.2,30.8
all_households,lowest_quintile,2008,26.6,24.6,47.4,16.7,30.7
all_households,lowest_quintile,2009,25.0,22.6,44.9,13.8,27.3
all_households,lowest_quintile,2010,25.3,22.6,43.1,15.2,27.3
all_households,lowest_quintile,2011,26.4,22.9,46.1,15.5,29.1
all_households,lowest_quintile,2012,27.4,24.1,48.0,15.6,28.8
all_households,lowest_quintile,2013,27.2,24.5,46.6,15.3,28.8
all_households,lowest_quintile,2014,27.2,25.8,45.4,13.1,28.8
all_households,lowest_quintile,2015,27.7,26.4,45.7,15.8,28.6
all_households,second_quintile,1979,29.1,29.1,25.3,32.9,29.1
all_households,second_quintile,1980,31.7,32.5,26.3,37.5,31.2
all_households,second_quintile,1981,31.1,32.7,25.4,35.5,31.2
all_households,second_quintile,1982,33.0,34.2,26.8,40.2,32.0
