household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17500,28700,39600,55200,55200,70600,89100,171100
1,1980,0,16700,27700,38500,54100,54100,69700,87300,168200
1,1981,0,16600,27800,38900,54700,54700,70000,88400,166700
1,1982,0,16200,27200,38600,54800,54800,70600,88100,167200
1,1983,0,15700,27100,38700,55500,55500,71800,90700,174800
1,1984,0,16900,28600,40900,58800,58800,76700,97000,190200
1,1985,0,16800,28800,41100,58900,58900,77000,98200,195800
1,1986,0,16800,29400,42200,61200,61200,80100,103900,226500
1,1987,0,16500,29300,42800,62000,62000,81300,103900,213000
1,1988,0,16800,29900,43400,63200,63200,83000,106800,227200
1,1989,0,17100,30300,43900,64000,64000,84200,108700,228800
1,1990,0,17700,30600,43900,63500,63500,83200,107600,221500
1,1991,0,17600,30100,43600,62500,62500,82400,106400,217900
1,1992,0,17200,30100,44000,63200,63200,83500,108800,228000
1,1993,0,17300,30200,44000,63800,63800,84400,109800,223900
1,1994,0,17600,30400,44700,64800,64800,85600,111700,231100
1,1995,0,18500,31600,45800,66500,66500,88400,116600,247400
1,1996,0,18300,32000,46700,68200,68200,91500,120200,262200
1,1997,0,19000,32800,47900,70100,70100,94900,126400,280900
1,1998,0,20100,34100,49700,73100,73100,98900,133100,302300
1,1999,0,20600,35000,51000,75400,75400,102700,137600,324200
1,2000,0,20800,35500,51800,76900,76900,105400,142400,336500
1,2001,0,20600,35200,51600,76600,76600,103300,137700,305000
1,2002,0,20300,34500,50700,75000,75000,101200,134800,290600
1,2003,0,20200,34300,50900,76200,76200,102800,137000,297200
1,2004,0,20600,35300,52200,78300,78300,106200,142000,323300
1,2005,0,21000,35900,53400,79900,79900,109700,150000,362900
1,2006,0,21600,36600,54500,82200,82200,113300,155400,382800
1,2007,0,22800,38100,56000,84000,84000,115900,159100,394200
1,2008,0,22100,36900,54600,81800,81800,111900,151900,349700
1,2009,0,21100,35900,53400,80200,80200,109300,146000,308300
1,2010,0,21400,36200,53800,80700,80700,110500,148900,328000
1,2011,0,21200,35400,53000,80700,80700,111400,149800,333200
1,2012,0,20700,35200,53400,81400,81400,112900,154300,364200
1,2013,0,21200,36000,54700,83200,83200,115200,157400,357900
1,2014,0,21200,36400,55100,84900,84900,117900,162400,375400
1,2015,0,22300,37800,57200,87800,87800,122200,167100,391100
2,1979,0,24700,40500,56000,78100,78100,99800,126000,242000
2,1980,0,23700,39200,54500,76500,76500,98500,123400,237900
2,1981,0,23400,39300,55000,77300,77300,99100,125000,235800
2,1982,0,22900,38500,54600,77600,77600,99800,124500,236400
2,1983,0,22200,38300,54800,78500,78500,101500,128300,247100
2,1984,0,23900,40500,57800,83100,83100,108500,137200,269000
2,1985,0,23800,40700,58200,83300,83300,108900,138900,276900
2,1986,0,23800,41600,59700,86600,86600,113300,146900,320300
2,1987,0,23300,41400,60500,87700,87700,115000,146900,301200
2,1988,0,23800,42300,61400,89400,89400,117400,151000,321300
2,1989,0,24200,42800,62100,90500,90500,119000,153700,323600
2,1990,0,25100,43300,62000,89700,89700,117700,152200,313200
2,1991,0,24800,42500,61700,88400,88400,116600,150500,308100
2,1992,0,24300,42600,62300,89300,89300,118100,153800,322500
2,1993,0,24500,42700,62200,90200,90200,119300,155300,316700
2,1994,0,24800,43000,63200,91700,91700,121100,157900,326800
2,1995,0,26200,44700,64800,94100,94100,125000,164800,349900
2,1996,0,25900,45300,66100,96500,96500,129400,170000,370800
2,1997,0,26900,46300,67700,99200,99200,134200,178700,397300
2,1998,0,28400,48200,70300,103400,103400,139800,188200,427500
2,1999,0,29200,49500,72200,106600,106600,145300,194600,458400
2,2000,0,29400,50100,73200,108800,108800,149000,201400,475800
2,2001,0,29100,49800,73000,108300,108300,146000,194800,431300
2,2002,0,28700,48800,71600,106000,106000,143100,190700,411000
2,2003,0,28500,48500,72000,107700,107700,145400,193800,420300
2,2004,0,29200,50000,73900,110700,110700,150200,200800,457300
2,2005,0,29700,50700,75500,113000,113000,155100,212200,513200
2,2006,0,30600,51800,77100,116200,116200,160200,219800,541300
2,2007,0,32200,53900,79200,118800,118800,163800,225000,557500
2,2008,0,31300,52100,77200,115600,115600,158300,214900,494600
2,2009,0,29800,50800,75600,113500,113500,154600,206500,435900
2,2010,0,30300,51200,76100,114100,114100,156300,210600,463900
2,2011,0,29900,50100,75000,114100,114100,157600,211900,471200
2,2012,0,29300,49800,75500,115100,115100,159700,218200,515000
2,2013,0,30000,50900,77300,117600,117600,163000,222700,506200
2,2014,0,29900,51500,77900,120100,120100,166800,229700,530900
2,2015,0,31500,53500,80900,124200,124200,172800,236400,553100
3,1979,0,30200,49600,68500,95600,95600,122200,154300,296400
3,1980,0,29000,48000,66700,93700,93700,120700,151100,291300
3,1981,0,28700,48100,67400,94700,94700,121300,153100,288800
3,1982,0,28000,47200,66900,95000,95000,122300,152500,289500
3,1983,0,27200,46900,67100,96100,96100,124300,157100,302700
3,1984,0,29300,49600,70800,101800,101800,132900,168000,329500
3,1985,0,29100,49800,71300,102000,102000,133400,170100,339200
3,1986,0,29200,50900,73100,106000,106000,138800,179900,392200
3,1987,0,28600,50700,74100,107400,107400,140800,179900,368900
3,1988,0,29200,51800,75200,109500,109500,143800,184900,393500
3,1989,0,29700,52400,76000,110800,110800,145800,188300,396300
3,1990,0,30700,53000,76000,109900,109900,144100,186400,383600
3,1991,0,30400,52100,75500,108200,108200,142800,184300,377400
3,1992,0,29700,52100,76200,109400,109400,144700,188400,394900
3,1993,0,30000,52300,76200,110500,110500,146100,190100,387800
3,1994,0,30400,52600,77400,112300,112300,148300,193400,400300
3,1995,0,32100,54700,79300,115300,115300,153100,201900,428600
3,1996,0,31800,55500,80900,118100,118100,158400,208200,454200
3,1997,0,33000,56800,82900,121500,121500,164300,218900,486600
3,1998,0,34800,59100,86100,126700,126700,171200,230500,523500
3,1999,0,35800,60600,88400,130600,130600,177900,238400,561500
3,2000,0,36000,61400,89700,133300,133300,182500,246600,582800
3,2001,0,35700,61000,89400,132600,132600,178900,238500,528300
3,2002,0,35100,59700,87700,129900,129900,175300,233500,503400
3,2003,0,34900,59400,88200,131900,131900,178100,237400,514700
3,2004,0,35700,61200,90400,135600,135600,183900,246000,560100
3,2005,0,36300,62100,92400,138400,138400,190000,259800,628600
3,2006,0,37400,63400,94500,142300,142300,196200,269200,663000
3,2007,0,39500,66000,97000,145500,145500,200700,275500,682800
3,2008,0,38300,63800,94600,141600,141600,193900,263200,605700
3,2009,0,36500,62200,92600,139000,139000,189400,252900,533900
3,2010,0,37100,62700,93200,139700,139700,191400,257900,568100
3,2011,0,36700,61300,91800,139700,139700,193000,259500,577100
3,2012,0,35900,61000,92500,141000,141000,195500,267200,630800
3,2013,0,36700,62300,94700,144000,144000,199600,272700,619900
3,2014,0,36700,63100,95400,147100,147100,204300,281300,650200
3,2015,0,38600,65500,99100,152100,152100,211600,289500,677400
4,1979,0,34900,57300,79100,110400,110400,141200,178200,342300
4,1980,0,33500,55500,77000,108200,108200,139400,174500,336400
4,1981,0,33100,55500,77800,109300,109300,140100,176700,333500
4,1982,0,32400,54500,77200,109700,109700,141200,176100,334300
4,1983,0,31400,54200,77500,111000,111000,143500,181400,349500
4,1984,0,33800,57200,81800,117500,117500,153400,194000,380500
4,1985,0,33600,57500,82300,117800,117800,154100,196400,391700
4,1986,0,33700,58800,84400,122400,122400,160200,207800,452900
4,1987,0,33000,58600,85500,124000,124000,162600,207800,426000
4,1988,0,33700,59800,86800,126400,126400,166100,213500,454300
4,1989,0,34300,60500,87800,127900,127900,168300,217400,457700
4,1990,0,35500,61200,87700,126900,126900,166400,215200,443000
4,1991,0,35100,60200,87200,125000,125000,164900,212800,435800
4,1992,0,34300,60200,88000,126300,126300,167100,217600,456000
4,1993,0,34700,60400,88000,127600,127600,168800,219600,447800
4,1994,0,35100,60800,89400,129700,129700,171200,223400,462200
4,1995,0,37100,63200,91600,133100,133100,176800,233100,494900
4,1996,0,36700,64000,93400,136400,136400,182900,240400,524400
4,1997,0,38100,65500,95700,140300,140300,189700,252800,561900
