household_type,income_group,year,inc_before_transfers_taxes,market_income,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_income,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_income,dividends,corp_tax_borne_by_capital,other_market_income,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1979,65300.0,60700.0,42100.0,0.0,1900.0,2100.0,100.0,600.0,3000.0,2400.0,200.0,2600.0,500.0,1200.0,1700.0,2400.0,4600.0,3300.0,900.0,200.0,100.0
all_households,all_quintiles,1980,63400.0,58500.0,40900.0,0.0,1600.0,2100.0,100.0,400.0,2400.0,2200.0,200.0,3200.0,500.0,1200.0,1300.0,2400.0,4900.0,3400.0,1000.0,400.0,100.0
all_households,all_quintiles,1981,63600.0,58500.0,40800.0,0.0,1600.0,2300.0,100.0,400.0,1900.0,2100.0,200.0,3900.0,600.0,1300.0,1100.0,2400.0,5100.0,3600.0,1100.0,300.0,100.0
all_households,all_quintiles,1982,63700.0,58100.0,40500.0,0.0,1800.0,2300.0,100.0,200.0,1700.0,2200.0,200.0,4100.0,600.0,1400.0,700.0,2400.0,5600.0,3700.0,1200.0,500.0,100.0
all_households,all_quintiles,1983,64400.0,58700.0,40100.0,0.0,1800.0,2300.0,100.0,300.0,2000.0,2900.0,300.0,3800.0,600.0,1200.0,900.0,2500.0,5700.0,3800.0,1300.0,500.0,200.0
all_households,all_quintiles,1984,68000.0,62500.0,41800.0,200.0,1800.0,2500.0,100.0,300.0,2700.0,3100.0,400.0,4100.0,600.0,1200.0,1000.0,2700.0,5500.0,3800.0,1300.0,300.0,200.0
all_households,all_quintiles,1985,69100.0,63400.0,42300.0,300.0,1900.0,2600.0,100.0,300.0,2300.0,3600.0,400.0,4000.0,600.0,1200.0,1000.0,2800.0,5600.0,3800.0,1400.0,300.0,200.0
all_households,all_quintiles,1986,73700.0,67900.0,43100.0,400.0,1900.0,2700.0,100.0,300.0,2700.0,6800.0,500.0,3600.0,500.0,1300.0,1000.0,2800.0,5800.0,3900.0,1500.0,300.0,200.0
all_households,all_quintiles,1987,71300.0,65700.0,43800.0,400.0,2100.0,2700.0,100.0,400.0,3200.0,2800.0,600.0,3500.0,500.0,1400.0,1300.0,2900.0,5700.0,3800.0,1500.0,300.0,200.0
all_households,all_quintiles,1988,74400.0,68600.0,44600.0,500.0,2200.0,2800.0,100.0,400.0,3900.0,2900.0,600.0,3600.0,500.0,1500.0,1300.0,3500.0,5700.0,3800.0,1500.0,200.0,200.0
