household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1980,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1981,1500.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1982,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1983,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1984,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1985,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1986,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1987,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1988,1500.0,600.0,200.0,200.0,500.0
all_households,all_quintiles,1989,1600.0,600.0,200.0,300.0,500.0
all_households,all_quintiles,1990,1800.0,700.0,300.0,300.0,500.0
all_households,all_quintiles,1991,2000.0,800.0,300.0,300.0,500.0
all_households,all_quintiles,1992,2200.0,1000.0,300.0,300.0,500.0
all_households,all_quintiles,1993,2300.0,1100.0,300.0,400.0,600.0
all_households,all_quintiles,1994,2400.0,1100.0,300.0,400.0,500.0
all_households,all_quintiles,1995,2400.0,1200.0,300.0,400.0,500.0
all_households,all_quintiles,1996,2300.0,1200.0,300.0,400.0,500.0
all_households,all_quintiles,1997,2200.0,1200.0,300.0,400.0,400.0
all_households,all_quintiles,1998,2300.0,1400.0,200.0,400.0,400.0
all_households,all_quintiles,1999,2400.0,1500.0,200.0,400.0,300.0
all_households,all_quintiles,2000,2500.0,1600.0,200.0,400.0,300.0
all_households,all_quintiles,2001,2700.0,1800.0,200.0,400.0,300.0
all_households,all_quintiles,2002,2900.0,2000.0,200.0,400.0,300.0
all_households,all_quintiles,2003,3100.0,2200.0,200.0,400.0,300.0
all_households,all_quintiles,2004,3300.0,2300.0,300.0,400.0,300.0
all_households,all_quintiles,2005,3300.0,2300.0,300.0,400.0,300.0
all_households,all_quintiles,2006,3200.0,2200.0,300.0,400.0,400.0
all_households,all_quintiles,2007,3300.0,2200.0,300.0,400.0,400.0
all_households,all_quintiles,2008,3500.0,2400.0,300.0,400.0,400.0
all_households,all_quintiles,2009,4000.0,2600.0,500.0,400.0,400.0
all_households,all_quintiles,2010,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2011,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2012,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2013,4200.0,2700.0,600.0,400.0,400.0
all_households,all_quintiles,2014,4900.0,3400.0,600.0,400.0,500.0
all_households,all_quintiles,2015,5200.0,3700.0,500.0,400.0,500.0
all_households,lowest_quintile,1979,4700.0,1400.0,900.0,700.0,1800.0
all_households,lowest_quintile,1980,5000.0,1400.0,1000.0,800.0,1800.0
all_households,lowest_quintile,1981,5100.0,1500.0,1100.0,800.0,1800.0
all_households,lowest_quintile,1982,5300.0,1600.0,1100.0,800.0,1900.0
all_households,lowest_quintile,1983,5600.0,1700.0,1100.0,800.0,2000.0
all_households,lowest_quintile,1984,5200.0,1600.0,1000.0,800.0,1900.0
all_households,lowest_quintile,1985,5500.0,1700.0,1000.0,800.0,2000.0
all_households,lowest_quintile,1986,5600.0,1800.0,900.0,800.0,2000.0
all_households,lowest_quintile,1987,5900.0,2000.0,900.0,800.0,2100.0
all_households,lowest_quintile,1988,5900.0,2100.0,900.0,900.0,2000.0
all_households,lowest_quintile,1989,6200.0,2300.0,1000.0,900.0,2000.0
all_households,lowest_quintile,1990,6700.0,2600.0,1100.0,900.0,2100.0
all_households,lowest_quintile,1991,7300.0,3000.0,1300.0,1000.0,2100.0
all_households,lowest_quintile,1992,8000.0,3400.0,1400.0,1100.0,2100.0
all_households,lowest_quintile,1993,8600.0,3600.0,1400.0,1200.0,2300.0
all_households,lowest_quintile,1994,8400.0,3600.0,1400.0,1300.0,2100.0
all_households,lowest_quintile,1995,8100.0,3600.0,1300.0,1300.0,1900.0
all_households,lowest_quintile,1996,8000.0,3700.0,1200.0,1400.0,1800.0
all_households,lowest_quintile,1997,7500.0,3700.0,1000.0,1300.0,1500.0
all_households,lowest_quintile,1998,7700.0,4100.0,900.0,1300.0,1400.0
all_households,lowest_quintile,1999,7500.0,4200.0,800.0,1200.0,1200.0
all_households,lowest_quintile,2000,7500.0,4500.0,700.0,1200.0,1100.0
all_households,lowest_quintile,2001,8100.0,5000.0,800.0,1300.0,1100.0
all_households,lowest_quintile,2002,8600.0,5500.0,800.0,1200.0,1100.0
all_households,lowest_quintile,2003,9100.0,5800.0,1000.0,1200.0,1100.0
all_households,lowest_quintile,2004,9200.0,6000.0,1100.0,1200.0,1000.0
all_households,lowest_quintile,2005,9300.0,6000.0,1200.0,1200.0,1000.0
all_households,lowest_quintile,2006,9200.0,5700.0,1200.0,1200.0,1100.0
all_households,lowest_quintile,2007,9000.0,5600.0,1100.0,1200.0,1100.0
all_households,lowest_quintile,2008,9500.0,5900.0,1300.0,1200.0,1100.0
all_households,lowest_quintile,2009,10900.0,6500.0,1900.0,1400.0,1200.0
all_households,lowest_quintile,2010,11200.0,6600.0,2000.0,1300.0,1200.0
all_households,lowest_quintile,2011,10900.0,6200.0,2200.0,1300.0,1200.0
all_households,lowest_quintile,2012,11200.0,6500.0,2200.0,1300.0,1200.0
all_households,lowest_quintile,2013,11500.0,6900.0,2100.0,1400.0,1100.0
all_households,lowest_quintile,2014,12900.0,8400.0,1900.0,1400.0,1300.0
all_households,lowest_quintile,2015,13400.0,8900.0,1800.0,1400.0,1300.0
all_households,second_quintile,1979,900.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1980,1000.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1981,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1982,1000.0,300.0,200.0,200.0,300.0
all_households,second_quintile,1983,900.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1984,900.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1985,900.0,300.0,100.0,100.0,300.0
all_households,second_quintile,1986,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1987,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1988,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1989,1100.0,500.0,100.0,200.0,300.0
all_households,second_quintile,1990,1300.0,600.0,100.0,200.0,300.0
all_households,second_quintile,1991,1600.0,700.0,200.0,300.0,300.0
all_households,second_quintile,1992,1900.0,1000.0,300.0,300.0,400.0
all_households,second_quintile,1993,2100.0,1000.0,300.0,300.0,400.0
all_households,second_quintile,1994,2100.0,1100.0,300.0,300.0,400.0
all_households,second_quintile,1995,2300.0,1300.0,300.0,400.0,400.0
all_households,second_quintile,1996,2200.0,1200.0,300.0,300.0,400.0
all_households,second_quintile,1997,2200.0,1300.0,200.0,300.0,300.0
all_households,second_quintile,1998,2400.0,1600.0,200.0,300.0,300.0
all_households,second_quintile,1999,2500.0,1700.0,200.0,400.0,300.0
all_households,second_quintile,2000,2700.0,1900.0,200.0,400.0,300.0
all_households,second_quintile,2001,3000.0,2200.0,200.0,400.0,300.0
