household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,2.1,0.6,0.4,0.3,0.8
all_households,all_quintiles,1980,2.3,0.7,0.4,0.4,0.8
all_households,all_quintiles,1981,2.3,0.7,0.5,0.3,0.8
all_households,all_quintiles,1982,2.2,0.7,0.4,0.3,0.8
all_households,all_quintiles,1983,2.2,0.7,0.4,0.3,0.8
all_households,all_quintiles,1984,2.1,0.7,0.4,0.3,0.7
all_households,all_quintiles,1985,2.1,0.7,0.3,0.3,0.8
all_households,all_quintiles,1986,2.0,0.7,0.3,0.3,0.7
all_households,all_quintiles,1987,2.1,0.8,0.3,0.3,0.7
all_households,all_quintiles,1988,2.0,0.8,0.3,0.3,0.7
all_households,all_quintiles,1989,2.1,0.8,0.3,0.3,0.6
all_households,all_quintiles,1990,2.4,1.0,0.3,0.4,0.7
all_households,all_quintiles,1991,2.7,1.2,0.4,0.4,0.7
all_households,all_quintiles,1992,2.9,1.3,0.5,0.5,0.7
all_households,all_quintiles,1993,3.1,1.4,0.5,0.5,0.8
all_households,all_quintiles,1994,3.1,1.5,0.4,0.5,0.7
all_households,all_quintiles,1995,3.0,1.5,0.4,0.5,0.6
all_households,all_quintiles,1996,2.8,1.4,0.4,0.5,0.6
all_households,all_quintiles,1997,2.6,1.4,0.3,0.4,0.4
all_households,all_quintiles,1998,2.6,1.5,0.2,0.4,0.4
all_households,all_quintiles,1999,2.5,1.5,0.2,0.4,0.3
all_households,all_quintiles,2000,2.5,1.6,0.2,0.4,0.3
all_households,all_quintiles,2001,2.9,1.9,0.2,0.4,0.3
all_households,all_quintiles,2002,3.3,2.2,0.2,0.4,0.3
all_households,all_quintiles,2003,3.5,2.4,0.3,0.4,0.3
all_households,all_quintiles,2004,3.4,2.4,0.3,0.4,0.3
all_households,all_quintiles,2005,3.3,2.3,0.3,0.4,0.3
all_households,all_quintiles,2006,3.1,2.1,0.3,0.4,0.4
all_households,all_quintiles,2007,3.1,2.1,0.3,0.4,0.3
all_households,all_quintiles,2008,3.5,2.4,0.3,0.4,0.4
all_households,all_quintiles,2009,4.2,2.8,0.5,0.5,0.5
all_households,all_quintiles,2010,4.3,2.7,0.6,0.4,0.4
all_households,all_quintiles,2011,4.3,2.7,0.7,0.5,0.5
all_households,all_quintiles,2012,4.1,2.6,0.6,0.4,0.4
all_households,all_quintiles,2013,4.3,2.7,0.6,0.5,0.4
all_households,all_quintiles,2014,4.8,3.3,0.5,0.4,0.5
all_households,all_quintiles,2015,5.0,3.6,0.5,0.4,0.5
all_households,lowest_quintile,1979,31.0,8.9,5.9,4.7,11.6
all_households,lowest_quintile,1980,34.1,9.7,6.8,5.4,12.3
all_households,lowest_quintile,1981,35.2,10.0,7.6,5.2,12.4
all_households,lowest_quintile,1982,38.0,11.1,7.7,5.6,13.6
all_households,lowest_quintile,1983,41.6,12.5,8.4,5.8,14.9
all_households,lowest_quintile,1984,36.1,11.0,6.6,5.3,13.2
all_households,lowest_quintile,1985,38.3,12.1,6.7,5.4,14.1
all_households,lowest_quintile,1986,39.5,12.9,6.6,5.7,14.3
all_households,lowest_quintile,1987,43.3,14.8,6.9,6.2,15.4
all_households,lowest_quintile,1988,41.8,14.6,6.7,6.3,14.2
all_households,lowest_quintile,1989,41.6,15.6,6.6,6.0,13.3
all_households,lowest_quintile,1990,43.8,17.0,7.1,5.8,13.9
all_households,lowest_quintile,1991,47.8,19.3,8.2,6.3,14.0
all_households,lowest_quintile,1992,51.8,21.8,8.9,7.5,13.5
all_households,lowest_quintile,1993,55.7,23.6,9.1,8.1,14.9
all_households,lowest_quintile,1994,54.9,23.5,9.1,8.3,14.0
all_households,lowest_quintile,1995,48.9,21.9,7.8,7.8,11.4
all_households,lowest_quintile,1996,48.7,22.2,7.5,8.4,10.7
all_households,lowest_quintile,1997,42.8,21.0,5.8,7.5,8.5
all_households,lowest_quintile,1998,41.2,21.9,4.7,7.2,7.4
all_households,lowest_quintile,1999,38.7,21.8,4.1,6.5,6.3
all_households,lowest_quintile,2000,39.4,23.5,3.7,6.5,5.6
all_households,lowest_quintile,2001,43.3,26.6,4.1,6.8,5.8
all_households,lowest_quintile,2002,46.3,29.3,4.5,6.7,5.8
all_households,lowest_quintile,2003,49.7,31.8,5.3,6.7,5.9
all_households,lowest_quintile,2004,49.6,32.4,5.7,6.4,5.2
all_households,lowest_quintile,2005,48.7,31.1,6.0,6.3,5.3
all_households,lowest_quintile,2006,46.0,28.5,5.8,6.1,5.6
all_households,lowest_quintile,2007,42.2,26.3,5.2,5.6,5.1
all_households,lowest_quintile,2008,45.2,28.1,6.1,5.7,5.4
all_households,lowest_quintile,2009,54.5,32.2,9.4,6.8,6.1
all_households,lowest_quintile,2010,55.1,32.4,10.1,6.6,6.0
all_households,lowest_quintile,2011,55.0,31.3,10.9,6.5,6.3
all_households,lowest_quintile,2012,59.0,34.1,11.7,7.1,6.2
all_households,lowest_quintile,2013,58.5,34.8,10.7,7.3,5.8
all_households,lowest_quintile,2014,67.1,43.6,9.8,7.0,6.7
all_households,lowest_quintile,2015,66.1,43.9,9.0,6.7,6.5
all_households,second_quintile,1979,2.5,0.8,0.4,0.4,0.9
all_households,second_quintile,1980,2.8,0.9,0.5,0.4,1.0
all_households,second_quintile,1981,3.1,1.0,0.6,0.4,1.0
all_households,second_quintile,1982,2.9,1.0,0.5,0.5,0.9
all_households,second_quintile,1983,2.7,0.9,0.5,0.4,0.9
all_households,second_quintile,1984,2.7,0.9,0.4,0.4,0.9
all_households,second_quintile,1985,2.6,1.0,0.4,0.4,0.9
all_households,second_quintile,1986,2.9,1.1,0.3,0.5,0.9
all_households,second_quintile,1987,2.8,1.1,0.3,0.6,0.9
all_households,second_quintile,1988,2.7,1.2,0.3,0.5,0.8
all_households,second_quintile,1989,2.9,1.3,0.3,0.6,0.8
all_households,second_quintile,1990,3.5,1.6,0.4,0.6,0.8
all_households,second_quintile,1991,4.3,2.0,0.5,0.8,0.9
all_households,second_quintile,1992,5.3,2.7,0.8,0.9,1.0
all_households,second_quintile,1993,5.7,2.9,0.7,0.9,1.1
all_households,second_quintile,1994,5.8,3.1,0.7,1.0,1.1
all_households,second_quintile,1995,6.0,3.3,0.7,1.0,1.0
all_households,second_quintile,1996,5.7,3.1,0.7,0.9,1.0
all_households,second_quintile,1997,5.5,3.3,0.5,0.9,0.8
all_households,second_quintile,1998,5.9,3.8,0.4,0.8,0.8
all_households,second_quintile,1999,5.9,4.1,0.4,0.8,0.6
all_households,second_quintile,2000,6.3,4.4,0.3,0.8,0.7
all_households,second_quintile,2001,7.1,5.2,0.4,0.8,0.7
all_households,second_quintile,2002,8.0,6.0,0.5,0.9,0.7
all_households,second_quintile,2003,8.9,6.7,0.6,1.0,0.7
all_households,second_quintile,2004,9.3,7.1,0.6,0.9,0.6
all_households,second_quintile,2005,9.1,6.9,0.7,0.8,0.6
all_households,second_quintile,2006,9.1,6.5,0.6,0.9,1.0
all_households,second_quintile,2007,8.7,6.3,0.6,0.9,1.0
all_households,second_quintile,2008,10.1,7.2,0.8,1.0,1.1
all_households,second_quintile,2009,12.1,8.3,1.3,1.1,1.3
all_households,second_quintile,2010,12.5,8.4,1.6,1.1,1.4
all_households,second_quintile,2011,13.1,8.6,1.9,1.1,1.5
all_households,second_quintile,2012,13.2,8.8,1.8,1.1,1.5
all_households,second_quintile,2013,13.1,8.8,1.8,1.1,1.5
all_households,second_quintile,2014,15.0,10.8,1.5,1.1,1.6
all_households,second_quintile,2015,15.3,11.3,1.4,0.9,1.6
all_households,middle_quintile,1979,0.8,0.3,0.1,0.2,0.3
all_households,middle_quintile,1980,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1981,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1982,0.6,0.2,0.1,0.1,0.2
all_households,middle_quintile,1983,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1984,0.7,0.2,0.1,0.2,0.2
all_households,middle_quintile,1985,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1986,0.7,0.3,,0.2,0.2
all_households,middle_quintile,1987,0.7,0.3,,0.2,0.2
all_households,middle_quintile,1988,0.8,0.3,,0.2,0.2
all_households,middle_quintile,1989,0.7,0.3,,0.2,0.2
all_households,middle_quintile,1990,0.9,0.4,0.1,0.2,0.2
all_households,middle_quintile,1991,1.1,0.6,0.1,0.2,0.2
all_households,middle_quintile,1992,1.2,0.6,0.1,0.2,0.2
all_households,middle_quintile,1993,1.5,0.8,0.1,0.3,0.3
all_households,middle_quintile,1994,1.5,0.9,0.1,0.2,0.3
all_households,middle_quintile,1995,1.6,0.9,0.1,0.3,0.3
all_households,middle_quintile,1996,1.6,0.9,0.1,0.3,0.2
all_households,middle_quintile,1997,1.4,0.9,0.1,0.2,0.2
all_households,middle_quintile,1998,1.4,1.0,0.1,0.2,0.1
all_households,middle_quintile,1999,1.7,1.2,0.1,0.3,0.1
all_households,middle_quintile,2000,1.8,1.3,0.1,0.2,0.2
all_households,middle_quintile,2001,1.9,1.5,0.1,0.2,0.2
all_households,middle_quintile,2002,2.3,1.8,0.1,0.3,0.2
all_households,middle_quintile,2003,2.5,2.0,0.1,0.3,0.2
all_households,middle_quintile,2004,2.6,2.1,0.1,0.3,0.1
all_households,middle_quintile,2005,2.7,2.1,0.1,0.3,0.1
all_households,middle_quintile,2006,2.5,1.9,0.1,0.3,0.2
all_households,middle_quintile,2007,2.6,2.0,0.1,0.3,0.3
all_households,middle_quintile,2008,2.9,2.2,0.1,0.3,0.3
all_households,middle_quintile,2009,3.5,2.6,0.2,0.3,0.3
all_households,middle_quintile,2010,3.5,2.6,0.3,0.3,0.3
all_households,middle_quintile,2011,3.6,2.6,0.3,0.3,0.4
all_households,middle_quintile,2012,3.6,2.6,0.3,0.4,0.3
all_households,middle_quintile,2013,3.7,2.7,0.3,0.3,0.4
all_households,middle_quintile,2014,4.5,3.5,0.3,0.3,0.4
all_households,middle_quintile,2015,4.8,3.8,0.3,0.3,0.5
all_households,fourth_quintile,1979,0.4,0.1,,0.1,0.1
all_households,fourth_quintile,1980,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1981,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1982,0.2,0.1,,0.1,0.1
all_households,fourth_quintile,1983,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1984,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1985,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1986,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1987,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1988,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1989,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1990,0.3,0.2,,0.1,0.1
all_households,fourth_quintile,1991,0.4,0.2,,0.1,0.1
all_households,fourth_quintile,1992,0.5,0.3,,0.1,0.1
all_households,fourth_quintile,1993,0.5,0.3,,0.1,0.1
all_households,fourth_quintile,1994,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1995,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1996,0.5,0.3,,0.1,0.1
all_households,fourth_quintile,1997,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1998,0.6,0.4,,0.1,
all_households,fourth_quintile,1999,0.6,0.4,,0.1,
all_households,fourth_quintile,2000,0.6,0.5,,0.1,0.1
all_households,fourth_quintile,2001,0.7,0.5,,0.1,
all_households,fourth_quintile,2002,0.8,0.7,,0.1,0.1
all_households,fourth_quintile,2003,0.9,0.7,,0.1,
all_households,fourth_quintile,2004,1.0,0.8,,0.1,
all_households,fourth_quintile,2005,1.0,0.8,,0.1,
all_households,fourth_quintile,2006,0.9,0.7,,0.1,0.1
all_households,fourth_quintile,2007,1.0,0.8,,0.1,0.1
all_households,fourth_quintile,2008,1.0,0.8,,0.1,0.1
all_households,fourth_quintile,2009,1.2,0.9,,0.1,0.1
all_households,fourth_quintile,2010,1.2,0.9,0.1,0.1,0.1
all_households,fourth_quintile,2011,1.2,0.9,0.1,0.1,0.1
all_households,fourth_quintile,2012,1.1,0.9,0.1,0.1,0.1
all_households,fourth_quintile,2013,1.1,0.8,0.1,0.1,0.1
all_households,fourth_quintile,2014,1.5,1.2,0.1,0.1,0.1
all_households,fourth_quintile,2015,1.6,1.3,0.1,0.1,0.1
all_households,highest_quintile,1979,0.1,,,,
all_households,highest_quintile,1980,0.1,,,,
all_households,highest_quintile,1981,0.1,,,,
all_households,highest_quintile,1982,0.1,,,,
all_households,highest_quintile,1983,0.1,,,,
all_households,highest_quintile,1984,0.1,,,,
all_households,highest_quintile,1985,0.1,,,,
all_households,highest_quintile,1986,0.1,,,,
all_households,highest_quintile,1987,0.1,,,,
all_households,highest_quintile,1988,0.1,,,,
all_households,highest_quintile,1989,0.1,,,,
all_households,highest_quintile,1990,0.1,,,,
all_households,highest_quintile,1991,0.1,0.1,,,
all_households,highest_quintile,1992,0.1,0.1,,,
all_households,highest_quintile,1993,0.1,0.1,,,
all_households,highest_quintile,1994,0.2,0.1,,,
all_households,highest_quintile,1995,0.2,0.1,,,
all_households,highest_quintile,1996,0.1,0.1,,,
all_households,highest_quintile,1997,0.1,0.1,,,
all_households,highest_quintile,1998,0.1,0.1,,,
all_households,highest_quintile,1999,0.1,0.1,,,
all_households,highest_quintile,2000,0.2,0.1,,,
all_households,highest_quintile,2001,0.2,0.1,,,
