household_type,income_group,year,all_means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,73.4,71.0,79.7,69.9,73.8
all_households,lowest_quintile,1980,73.6,71.4,77.7,74.1,73.0
all_households,lowest_quintile,1981,72.5,69.5,76.3,70.5,73.5
all_households,lowest_quintile,1982,75.1,71.2,81.2,72.0,76.7
all_households,lowest_quintile,1983,76.0,73.5,81.8,71.3,77.3
all_households,lowest_quintile,1984,74.2,72.3,78.9,69.0,76.0
all_households,lowest_quintile,1985,75.2,72.7,81.9,68.5,77.5
all_households,lowest_quintile,1986,75.0,71.8,83.5,67.9,77.6
all_households,lowest_quintile,1987,75.6,72.8,85.5,66.8,78.8
all_households,lowest_quintile,1988,75.2,71.1,85.1,69.5,78.2
all_households,lowest_quintile,1989,74.1,70.8,83.8,66.0,78.3
all_households,lowest_quintile,1990,72.6,68.9,81.9,63.3,77.9
all_households,lowest_quintile,1991,70.5,66.8,79.2,62.4,76.0
all_households,lowest_quintile,1992,67.7,63.6,75.0,62.1,74.4
all_households,lowest_quintile,1993,67.3,62.9,75.1,61.8,74.3
all_households,lowest_quintile,1994,66.0,59.9,75.8,63.5,73.9
all_households,lowest_quintile,1995,64.6,58.7,75.5,62.9,72.7
all_households,lowest_quintile,1996,65.0,59.3,75.2,65.6,72.2
all_households,lowest_quintile,1997,64.4,58.8,75.9,65.5,73.5
all_households,lowest_quintile,1998,63.1,57.4,77.2,66.2,72.6
all_households,lowest_quintile,1999,61.1,55.8,78.0,63.2,72.7
all_households,lowest_quintile,2000,59.4,54.6,76.2,64.5,68.5
all_households,lowest_quintile,2001,59.0,54.2,77.9,64.3,68.4
all_households,lowest_quintile,2002,56.9,52.5,73.9,61.8,67.6
all_households,lowest_quintile,2003,56.2,51.6,74.2,61.1,67.7
all_households,lowest_quintile,2004,54.6,50.2,72.8,58.7,67.3
all_households,lowest_quintile,2005,55.0,50.1,72.9,60.5,67.7
all_households,lowest_quintile,2006,53.7,49.3,74.3,59.3,57.6
all_households,lowest_quintile,2007,53.2,49.0,72.9,58.6,56.5
all_households,lowest_quintile,2008,52.0,47.8,70.4,57.1,56.2
all_households,lowest_quintile,2009,50.7,45.8,67.8,57.4,53.1
all_households,lowest_quintile,2010,50.9,46.5,63.9,58.3,52.4
all_households,lowest_quintile,2011,50.8,46.0,64.4,57.1,52.8
all_households,lowest_quintile,2012,51.4,46.8,66.0,57.8,51.5
all_households,lowest_quintile,2013,51.9,48.0,64.0,60.8,49.9
all_households,lowest_quintile,2014,50.1,46.7,64.1,58.4,50.1
all_households,lowest_quintile,2015,49.3,45.8,64.5,60.0,49.0
all_households,second_quintile,1979,13.1,13.7,12.7,13.6,12.6
all_households,second_quintile,1980,13.6,14.7,13.7,11.4,13.6
all_households,second_quintile,1981,14.6,15.7,14.8,13.0,14.2
all_households,second_quintile,1982,13.7,15.2,12.5,14.8,12.7
