household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,13700,26500,38100,53800,53800,69200,87700,169000
1,1980,0,12500,25200,36700,52500,52500,68000,85400,166000
1,1981,0,12400,25100,37000,53000,53000,68200,86500,164200
1,1982,0,11800,24200,36200,52800,52800,68700,85900,163800
1,1983,0,11400,23800,36200,53300,53300,69800,88600,171800
1,1984,0,12700,25600,38400,56600,56600,74400,94600,187400
1,1985,0,12700,25600,38600,56800,56800,74700,96000,192700
1,1986,0,12500,26000,39600,59100,59100,78100,101400,222600
1,1987,0,11900,25800,40300,60000,60000,79600,101800,209400
1,1988,0,12200,26500,40800,61100,61100,80900,104800,223900
1,1989,0,12600,26700,41300,61700,61700,82200,106600,226400
1,1990,0,13000,27000,41000,61300,61300,81000,105200,218200
1,1991,0,12700,26000,40500,60100,60100,80200,103800,214600
1,1992,0,12200,25800,40700,60600,60600,81500,106500,225000
1,1993,0,12000,25600,40600,61200,61200,81700,107100,220800
1,1994,0,12200,26200,41500,62500,62500,83200,108400,228700
1,1995,0,13400,27400,42600,64100,64100,86000,113400,243500
1,1996,0,13400,27600,43200,65500,65500,88700,117000,258200
1,1997,0,14000,28500,44300,67200,67200,92300,122900,276500
1,1998,0,15300,29700,46300,70500,70500,96300,129700,298300
1,1999,0,15900,30700,47700,72800,72800,99900,135000,321200
1,2000,0,16100,30900,48400,74000,74000,102500,139200,331600
1,2001,0,15300,30600,47800,73600,73600,100500,134800,301600
1,2002,0,14800,29400,46600,71900,71900,98300,132200,287500
1,2003,0,14300,29200,46900,73100,73100,99900,133900,293900
1,2004,0,14800,30200,48300,75200,75200,103300,139200,319400
1,2005,0,15500,30700,49300,76700,76700,106400,146600,358900
1,2006,0,15800,31200,50100,78600,78600,109700,151500,378400
1,2007,0,17100,32800,51400,80100,80100,112100,155300,389500
1,2008,0,16000,31000,49700,77900,77900,108500,148100,345500
1,2009,0,14200,28900,47500,75600,75600,105200,141900,303100
1,2010,0,14400,28900,47600,76000,76000,106300,144600,323800
1,2011,0,14200,28600,47300,76300,76300,107100,145500,329100
1,2012,0,13900,28400,47400,77100,77100,108200,149800,360000
1,2013,0,14500,29300,48500,78500,78500,111000,153200,352000
1,2014,0,14500,29900,49400,80100,80100,113200,157900,371000
1,2015,0,15400,31200,51200,82900,82900,117800,162400,386800
2,1979,0,19300,37400,53800,76100,76100,97900,124000,239000
2,1980,0,17700,35700,51900,74300,74300,96200,120800,234700
2,1981,0,17600,35500,52300,74900,74900,96400,122400,232200
2,1982,0,16700,34200,51100,74600,74600,97200,121500,231700
2,1983,0,16200,33600,51200,75400,75400,98700,125300,242900
2,1984,0,18000,36200,54400,80000,80000,105300,133800,265000
2,1985,0,17900,36300,54500,80300,80300,105700,135800,272600
2,1986,0,17700,36700,56000,83600,83600,110500,143400,314800
2,1987,0,16800,36500,56900,84900,84900,112500,143900,296200
2,1988,0,17300,37500,57800,86400,86400,114300,148100,316600
2,1989,0,17900,37800,58400,87300,87300,116300,150800,320100
2,1990,0,18400,38200,57900,86700,86700,114600,148800,308600
2,1991,0,17900,36800,57300,85000,85000,113400,146900,303500
2,1992,0,17200,36500,57500,85700,85700,115200,150600,318200
2,1993,0,17000,36200,57500,86600,86600,115600,151400,312300
2,1994,0,17200,37000,58700,88300,88300,117600,153300,323400
2,1995,0,18900,38800,60300,90700,90700,121600,160400,344300
2,1996,0,18900,39100,61100,92600,92600,125500,165400,365200
2,1997,0,19800,40300,62600,95000,95000,130500,173900,391000
2,1998,0,21700,42000,65400,99700,99700,136100,183500,421900
2,1999,0,22500,43400,67500,102900,102900,141300,190900,454200
2,2000,0,22700,43800,68400,104700,104700,145000,196800,469000
2,2001,0,21700,43200,67600,104100,104100,142200,190600,426500
2,2002,0,20900,41500,65900,101800,101800,139000,187000,406600
2,2003,0,20300,41200,66300,103400,103400,141300,189400,415600
2,2004,0,20900,42700,68300,106300,106300,146200,196900,451700
2,2005,0,21900,43500,69700,108500,108500,150400,207300,507600
2,2006,0,22300,44100,70900,111200,111200,155100,214200,535100
2,2007,0,24200,46300,72800,113300,113300,158500,219700,550800
2,2008,0,22700,43800,70200,110200,110200,153500,209400,488600
2,2009,0,20000,40800,67200,107000,107000,148800,200600,428600
2,2010,0,20400,40900,67300,107500,107500,150300,204400,457900
2,2011,0,20000,40400,66900,107900,107900,151400,205700,465500
2,2012,0,19700,40100,67000,109000,109000,153100,211900,509100
2,2013,0,20500,41400,68600,111100,111100,156900,216600,497900
2,2014,0,20500,42300,69800,113300,113300,160100,223300,524600
2,2015,0,21800,44100,72400,117200,117200,166600,229700,547000
3,1979,0,23700,45900,65900,93200,93200,119900,151800,292700
3,1980,0,21700,43700,63600,91000,91000,117800,147900,287500
3,1981,0,21600,43500,64000,91700,91700,118100,149900,284400
3,1982,0,20400,41900,62600,91400,91400,119000,148800,283700
3,1983,0,19800,41200,62700,92300,92300,120900,153500,297500
3,1984,0,22000,44300,66600,98000,98000,128900,163900,324500
3,1985,0,22000,44400,66800,98400,98400,129500,166400,333800
3,1986,0,21600,45000,68600,102400,102400,135300,175700,385500
3,1987,0,20600,44700,69700,104000,104000,137800,176300,362800
3,1988,0,21200,45900,70700,105900,105900,140000,181400,387700
3,1989,0,21900,46300,71600,106900,106900,142400,184600,392100
3,1990,0,22600,46800,71000,106100,106100,140300,182300,378000
3,1991,0,21900,45000,70200,104100,104100,138800,179900,371700
3,1992,0,21100,44700,70500,105000,105000,141100,184400,389700
3,1993,0,20800,44400,70400,106000,106000,141600,185400,382500
3,1994,0,21100,45300,71900,108200,108200,144000,187800,396100
3,1995,0,23200,47500,73800,111100,111100,148900,196500,421700
3,1996,0,23100,47900,74800,113400,113400,153700,202600,447300
3,1997,0,24200,49400,76700,116300,116300,159800,212900,478900
