household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1980,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1981,1500.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1982,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1983,1400.0,400.0,300.0,200.0,500.0
all_households,all_quintiles,1984,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1985,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1986,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1987,1500.0,500.0,200.0,200.0,500.0
all_households,all_quintiles,1988,1500.0,600.0,200.0,200.0,500.0
all_households,all_quintiles,1989,1600.0,600.0,200.0,300.0,500.0
all_households,all_quintiles,1990,1800.0,700.0,300.0,300.0,500.0
all_households,all_quintiles,1991,2000.0,800.0,300.0,300.0,500.0
all_households,all_quintiles,1992,2200.0,1000.0,300.0,300.0,500.0
all_households,all_quintiles,1993,2300.0,1100.0,300.0,400.0,600.0
all_households,all_quintiles,1994,2400.0,1100.0,300.0,400.0,500.0
all_households,all_quintiles,1995,2400.0,1200.0,300.0,400.0,500.0
all_households,all_quintiles,1996,2300.0,1200.0,300.0,400.0,500.0
all_households,all_quintiles,1997,2200.0,1200.0,300.0,400.0,400.0
all_households,all_quintiles,1998,2300.0,1400.0,200.0,400.0,400.0
all_households,all_quintiles,1999,2400.0,1500.0,200.0,400.0,300.0
all_households,all_quintiles,2000,2500.0,1600.0,200.0,400.0,300.0
all_households,all_quintiles,2001,2700.0,1800.0,200.0,400.0,300.0
all_households,all_quintiles,2002,2900.0,2000.0,200.0,400.0,300.0
all_households,all_quintiles,2003,3100.0,2200.0,200.0,400.0,300.0
all_households,all_quintiles,2004,3300.0,2300.0,300.0,400.0,300.0
all_households,all_quintiles,2005,3300.0,2300.0,300.0,400.0,300.0
all_households,all_quintiles,2006,3200.0,2200.0,300.0,400.0,400.0
all_households,all_quintiles,2007,3300.0,2200.0,300.0,400.0,400.0
all_households,all_quintiles,2008,3500.0,2400.0,300.0,400.0,400.0
all_households,all_quintiles,2009,4000.0,2600.0,500.0,400.0,400.0
all_households,all_quintiles,2010,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2011,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2012,4100.0,2600.0,600.0,400.0,400.0
all_households,all_quintiles,2013,4200.0,2700.0,600.0,400.0,400.0
all_households,all_quintiles,2014,4900.0,3400.0,600.0,400.0,500.0
all_households,all_quintiles,2015,5200.0,3700.0,500.0,400.0,500.0
all_households,lowest_quintile,1979,4200.0,1200.0,800.0,700.0,1500.0
all_households,lowest_quintile,1980,4400.0,1300.0,800.0,700.0,1500.0
all_households,lowest_quintile,1981,4500.0,1300.0,900.0,700.0,1500.0
all_households,lowest_quintile,1982,4600.0,1400.0,900.0,700.0,1600.0
all_households,lowest_quintile,1983,4900.0,1500.0,900.0,700.0,1700.0
all_households,lowest_quintile,1984,4500.0,1400.0,800.0,700.0,1600.0
all_households,lowest_quintile,1985,4800.0,1600.0,800.0,700.0,1700.0
all_households,lowest_quintile,1986,5000.0,1700.0,800.0,800.0,1700.0
all_households,lowest_quintile,1987,5200.0,1800.0,800.0,800.0,1800.0
all_households,lowest_quintile,1988,5300.0,1900.0,800.0,800.0,1800.0
all_households,lowest_quintile,1989,5400.0,2100.0,800.0,800.0,1700.0
all_households,lowest_quintile,1990,5900.0,2300.0,900.0,800.0,1800.0
all_households,lowest_quintile,1991,6300.0,2600.0,1000.0,900.0,1800.0
all_households,lowest_quintile,1992,6800.0,2900.0,1100.0,1000.0,1700.0
all_households,lowest_quintile,1993,7100.0,3100.0,1100.0,1100.0,1800.0
all_households,lowest_quintile,1994,7100.0,3200.0,1100.0,1200.0,1700.0
all_households,lowest_quintile,1995,7000.0,3300.0,1000.0,1200.0,1500.0
all_households,lowest_quintile,1996,6900.0,3300.0,1000.0,1300.0,1400.0
all_households,lowest_quintile,1997,6600.0,3400.0,800.0,1200.0,1200.0
all_households,lowest_quintile,1998,6800.0,3700.0,700.0,1200.0,1100.0
all_households,lowest_quintile,1999,6700.0,3900.0,600.0,1200.0,1000.0
all_households,lowest_quintile,2000,6900.0,4200.0,600.0,1200.0,900.0
all_households,lowest_quintile,2001,7300.0,4600.0,600.0,1200.0,900.0
all_households,lowest_quintile,2002,7600.0,4900.0,700.0,1100.0,900.0
all_households,lowest_quintile,2003,8000.0,5200.0,700.0,1200.0,900.0
all_households,lowest_quintile,2004,8100.0,5500.0,800.0,1100.0,800.0
all_households,lowest_quintile,2005,8200.0,5400.0,900.0,1100.0,800.0
all_households,lowest_quintile,2006,8200.0,5100.0,900.0,1100.0,1100.0
all_households,lowest_quintile,2007,8200.0,5100.0,900.0,1100.0,1100.0
all_households,lowest_quintile,2008,8500.0,5300.0,1000.0,1100.0,1100.0
all_households,lowest_quintile,2009,9600.0,5700.0,1400.0,1200.0,1200.0
all_households,lowest_quintile,2010,9700.0,5800.0,1500.0,1200.0,1200.0
all_households,lowest_quintile,2011,9400.0,5500.0,1600.0,1200.0,1200.0
all_households,lowest_quintile,2012,9700.0,5700.0,1600.0,1200.0,1200.0
all_households,lowest_quintile,2013,9900.0,5900.0,1600.0,1200.0,1200.0
all_households,lowest_quintile,2014,10800.0,6900.0,1400.0,1200.0,1300.0
all_households,lowest_quintile,2015,10900.0,7000.0,1400.0,1200.0,1300.0
all_households,second_quintile,1979,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1980,1300.0,400.0,300.0,100.0,500.0
all_households,second_quintile,1981,1300.0,400.0,300.0,100.0,400.0
all_households,second_quintile,1982,1200.0,400.0,300.0,200.0,400.0
all_households,second_quintile,1983,1000.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1984,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1985,1000.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1986,1100.0,400.0,200.0,200.0,400.0
all_households,second_quintile,1987,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1988,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1989,1100.0,500.0,100.0,200.0,300.0
all_households,second_quintile,1990,1300.0,600.0,200.0,200.0,400.0
all_households,second_quintile,1991,1700.0,700.0,300.0,200.0,400.0
all_households,second_quintile,1992,2100.0,1000.0,400.0,300.0,500.0
all_households,second_quintile,1993,2300.0,1100.0,400.0,300.0,500.0
all_households,second_quintile,1994,2300.0,1100.0,400.0,300.0,500.0
all_households,second_quintile,1995,2300.0,1200.0,300.0,300.0,400.0
all_households,second_quintile,1996,2300.0,1200.0,300.0,300.0,400.0
all_households,second_quintile,1997,2200.0,1200.0,300.0,300.0,400.0
all_households,second_quintile,1998,2500.0,1600.0,200.0,300.0,400.0
all_households,second_quintile,1999,2500.0,1700.0,200.0,300.0,300.0
all_households,second_quintile,2000,2600.0,1800.0,200.0,300.0,300.0
all_households,second_quintile,2001,3000.0,2100.0,200.0,300.0,300.0
