household_type,income_group,year,all_means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,71.4,70.1,74.3,73.6,70.2
all_households,lowest_quintile,1980,70.5,70.0,71.5,75.1,68.5
all_households,lowest_quintile,1981,70.2,69.4,70.2,73.2,69.7
all_households,lowest_quintile,1982,72.5,70.9,74.2,74.0,72.3
all_households,lowest_quintile,1983,75.2,75.3,76.0,74.0,75.2
all_households,lowest_quintile,1984,72.5,72.7,73.7,71.1,72.3
all_households,lowest_quintile,1985,74.6,74.0,77.4,71.6,75.1
all_households,lowest_quintile,1986,74.8,73.6,78.6,73.0,75.0
all_households,lowest_quintile,1987,75.9,74.8,82.0,69.3,77.5
all_households,lowest_quintile,1988,75.6,73.1,81.4,73.1,77.3
all_households,lowest_quintile,1989,73.8,71.8,80.1,69.5,75.8
all_households,lowest_quintile,1990,72.6,70.1,78.3,67.2,76.2
all_households,lowest_quintile,1991,70.3,68.0,73.5,67.9,73.4
all_households,lowest_quintile,1992,67.0,64.8,69.3,66.0,70.5
all_households,lowest_quintile,1993,66.3,63.4,68.8,65.5,70.7
all_households,lowest_quintile,1994,65.7,62.0,69.3,68.2,69.4
all_households,lowest_quintile,1995,65.9,62.3,70.3,67.8,70.1
all_households,lowest_quintile,1996,66.3,62.4,70.7,70.2,69.7
all_households,lowest_quintile,1997,65.9,62.3,69.5,70.4,70.3
all_households,lowest_quintile,1998,63.9,60.1,71.5,68.5,68.7
all_households,lowest_quintile,1999,62.2,58.4,72.3,66.5,68.0
all_households,lowest_quintile,2000,61.7,57.9,72.2,69.5,65.4
all_households,lowest_quintile,2001,60.6,56.8,73.0,68.2,65.1
all_households,lowest_quintile,2002,58.7,55.2,67.7,66.4,64.7
all_households,lowest_quintile,2003,57.8,54.2,67.3,66.9,64.4
all_households,lowest_quintile,2004,56.7,53.5,66.2,64.0,63.4
all_households,lowest_quintile,2005,56.8,53.0,67.2,65.0,64.9
all_households,lowest_quintile,2006,56.9,52.7,68.2,63.7,65.7
all_households,lowest_quintile,2007,56.3,51.9,68.4,63.9,65.1
all_households,lowest_quintile,2008,55.3,51.3,64.9,62.1,64.3
all_households,lowest_quintile,2009,53.6,49.1,60.6,62.4,63.7
all_households,lowest_quintile,2010,53.4,49.3,57.6,63.4,62.2
all_households,lowest_quintile,2011,53.2,49.0,57.1,62.5,62.6
all_households,lowest_quintile,2012,53.5,49.2,59.0,63.4,62.0
all_households,lowest_quintile,2013,53.7,49.6,58.4,63.6,61.7
all_households,lowest_quintile,2014,50.5,46.1,58.9,62.3,60.3
all_households,lowest_quintile,2015,48.1,43.6,58.2,62.0,58.2
all_households,second_quintile,1979,15.4,15.7,17.5,12.6,15.3
all_households,second_quintile,1980,16.6,16.9,19.2,12.0,17.0
all_households,second_quintile,1981,16.6,16.4,19.9,11.6,16.9
all_households,second_quintile,1982,16.3,16.1,18.6,13.4,16.5
