household_type,income_group,year,market_inc,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,72400,5400,77800,1700,17500,62100
all_households,all_quintiles,1980,69700,5800,75600,1800,16900,60400
all_households,all_quintiles,1981,69800,6100,75800,1800,17100,60500
all_households,all_quintiles,1982,69300,6700,76000,1800,15800,61900
all_households,all_quintiles,1983,70000,6700,76700,1800,15700,62800
all_households,all_quintiles,1984,74500,6600,81100,1800,16900,66000
all_households,all_quintiles,1985,75700,6700,82300,1800,17300,66900
all_households,all_quintiles,1986,81000,6900,87900,1900,18500,71300
all_households,all_quintiles,1987,78300,6700,85000,1900,18500,68400
all_households,all_quintiles,1988,81900,6800,88700,1900,19400,71100
all_households,all_quintiles,1989,82300,6900,89300,2000,19300,72000
all_households,all_quintiles,1990,81600,7200,88800,2200,19200,71800
all_households,all_quintiles,1991,79100,7600,86700,2500,18700,70500
all_households,all_quintiles,1992,81100,8000,89100,2800,19300,72600
all_households,all_quintiles,1993,81200,8200,89400,3000,19800,72600
all_households,all_quintiles,1994,82200,8200,90400,3000,20300,73100
all_households,all_quintiles,1995,85800,8400,94200,3100,21400,75900
all_households,all_quintiles,1996,89300,8500,97900,3000,22400,78500
all_households,all_quintiles,1997,93800,8600,102400,2900,23600,81700
all_households,all_quintiles,1998,99300,8600,107900,3000,24500,86400
all_households,all_quintiles,1999,104800,8500,113300,3000,26100,90300
all_households,all_quintiles,2000,107300,8500,115800,3200,26800,92100
all_households,all_quintiles,2001,100800,8900,109800,3400,23700,89500
all_households,all_quintiles,2002,96100,9400,105500,3700,21900,87200
all_households,all_quintiles,2003,97600,9600,107100,3900,21400,89700
all_households,all_quintiles,2004,103600,9500,113000,4100,23000,94200
all_households,all_quintiles,2005,109500,9700,119200,4200,24800,98500
all_households,all_quintiles,2006,113500,10200,123700,4100,25900,101900
all_households,all_quintiles,2007,117200,10300,127500,4200,26100,105500
all_households,all_quintiles,2008,107700,10800,118500,4400,22000,100900
all_households,all_quintiles,2009,99200,12500,111700,5000,20000,96700
all_households,all_quintiles,2010,101000,12500,113500,5200,21100,97600
all_households,all_quintiles,2011,101200,12200,113400,5400,20800,98000
all_households,all_quintiles,2012,106500,12400,118900,5400,22400,101800
all_households,all_quintiles,2013,105100,12300,117400,5500,24300,98600
all_households,all_quintiles,2014,109300,12200,121600,6100,25700,102000
all_households,all_quintiles,2015,112800,12700,125500,6600,26500,105600
all_households,all_quintiles,2016,111600,12900,124500,6800,26000,105300
all_households,all_quintiles,2017,115500,13000,128500,6800,26600,108800
all_households,all_quintiles,2018,118100,13100,131200,6700,25400,112500
all_households,all_quintiles,2019,121000,13700,134800,6800,26000,115600
all_households,all_quintiles,2020,121400,15700,137000,10600,22700,124900
all_households,all_quintiles,2021,133600,15100,148700,9400,25800,132400
all_households,all_quintiles,2022,128200,14800,143000,7900,29400,121500
all_households,lowest_quintile,1979,9000,11500,20500,5200,1200,24500
all_households,lowest_quintile,1980,8100,11800,19900,5500,1100,24300
all_households,lowest_quintile,1981,7900,12000,19900,5700,1100,24500
all_households,lowest_quintile,1982,7400,12400,19700,5800,1000,24600
all_households,lowest_quintile,1983,7000,12300,19300,6300,1100,24500
all_households,lowest_quintile,1984,8500,11800,20200,5900,1400,24800
all_households,lowest_quintile,1985,8100,12200,20300,6300,1300,25200
all_households,lowest_quintile,1986,8000,12200,20300,6300,1300,25300
all_households,lowest_quintile,1987,7200,12400,19600,6700,1100,25100
all_households,lowest_quintile,1988,7500,12800,20200,6800,1100,25900
all_households,lowest_quintile,1989,8200,12800,21000,7000,1100,26900
all_households,lowest_quintile,1990,8600,13100,21800,7600,1300,28100
all_households,lowest_quintile,1991,8500,13700,22100,8200,1200,29100
all_households,lowest_quintile,1992,8200,14500,22600,8800,1200,30300
all_households,lowest_quintile,1993,8000,15100,23000,9300,1200,31200
all_households,lowest_quintile,1994,7700,15500,23200,9400,1000,31700
all_households,lowest_quintile,1995,8800,15700,24500,9400,900,32900
all_households,lowest_quintile,1996,9000,15300,24400,9300,800,32800
all_households,lowest_quintile,1997,9900,15900,25700,8800,900,33600
all_households,lowest_quintile,1998,11200,15800,27100,9000,1000,35000
all_households,lowest_quintile,1999,12100,15700,27900,9000,1200,35700
all_households,lowest_quintile,2000,11400,15300,26700,9100,1100,34700
all_households,lowest_quintile,2001,11000,15100,26100,9700,900,34900
all_households,lowest_quintile,2002,10400,15900,26400,10000,800,35600
