household_type,income_group,year,inc_before_transfers_taxes,market_inc,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_inc,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_inc,dividends,corp_tax_borne_by_capital,other_market_inc,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1979,77800,72400,50200,0,2200,2500,100,700,3500,2900,200,3100,600,1400,2000,2900,5400,3900,1100,300,200
all_households,all_quintiles,1980,75600,69700,48800,0,1900,2500,100,500,2800,2600,200,3800,700,1500,1600,2800,5800,4000,1200,500,200
all_households,all_quintiles,1981,75800,69800,48600,0,1900,2700,100,400,2200,2500,200,4700,700,1600,1300,2900,6100,4200,1300,400,200
all_households,all_quintiles,1982,76000,69300,48300,0,2100,2700,100,300,2000,2600,300,4900,700,1700,800,2800,6700,4400,1400,600,200
all_households,all_quintiles,1983,76700,70000,47800,0,2200,2700,100,300,2300,3400,400,4500,700,1500,1000,3000,6700,4500,1500,600,200
all_households,all_quintiles,1984,81100,74500,49800,300,2200,2900,100,400,3200,3700,400,4900,700,1400,1200,3200,6600,4400,1600,400,200
all_households,all_quintiles,1985,82300,75700,50400,400,2300,3100,100,400,2800,4300,500,4800,700,1500,1100,3300,6700,4500,1700,300,200
all_households,all_quintiles,1986,87900,81000,51500,500,2300,3200,100,400,3200,8100,600,4300,600,1600,1200,3400,6900,4600,1800,400,200
all_households,all_quintiles,1987,85000,78300,52200,500,2500,3200,100,500,3800,3300,700,4100,600,1600,1500,3500,6700,4500,1700,300,200
all_households,all_quintiles,1988,88700,81900,53200,600,2700,3400,100,500,4600,3500,700,4300,600,1800,1600,4200,6800,4500,1700,300,200
all_households,all_quintiles,1989,89300,82300,53200,700,2700,3400,100,500,4600,3200,800,4800,700,1800,1500,4300,6900,4600,1800,300,300
all_households,all_quintiles,1990,88800,81600,53400,700,2800,3500,100,500,4600,2300,800,4700,700,1600,1500,4400,7200,4700,2000,300,300
all_households,all_quintiles,1991,86700,79100,52400,700,2700,3500,100,400,4200,2000,800,4100,700,1500,1300,4600,7600,4800,2000,500,300
all_households,all_quintiles,1992,89100,81100,53500,900,3000,3500,100,500,4800,2200,900,3100,700,1500,1500,4800,8000,5000,2200,600,200
all_households,all_quintiles,1993,89400,81200,53200,900,3400,3500,100,600,4700,2600,900,2500,800,1500,1700,4900,8200,5100,2400,500,200
all_households,all_quintiles,1994,90400,82200,53600,1000,3600,3600,100,600,5000,2500,900,2300,800,1500,1800,5000,8200,5100,2400,400,200
all_households,all_quintiles,1995,94200,85800,55200,1200,3600,3700,100,700,5100,2900,800,2700,800,1600,2000,5300,8400,5300,2600,300,200
all_households,all_quintiles,1996,97900,89300,56200,1400,3600,3800,100,700,5400,4200,800,2800,800,1700,2100,5700,8500,5300,2700,300,200
