household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1700,500,300,300,700
all_households,all_quintiles,1980,1800,500,300,300,700
all_households,all_quintiles,1981,1800,500,400,300,700
all_households,all_quintiles,1982,1800,500,300,300,700
all_households,all_quintiles,1983,1800,500,300,300,700
all_households,all_quintiles,1984,1800,500,300,300,700
all_households,all_quintiles,1985,1800,600,300,300,700
all_households,all_quintiles,1986,1900,600,300,300,700
all_households,all_quintiles,1987,1900,600,300,300,700
all_households,all_quintiles,1988,1900,700,300,300,700
all_households,all_quintiles,1989,2000,700,300,300,700
all_households,all_quintiles,1990,2200,900,300,300,800
all_households,all_quintiles,1991,2500,1000,400,400,800
all_households,all_quintiles,1992,2800,1200,400,400,800
all_households,all_quintiles,1993,3000,1300,400,400,800
all_households,all_quintiles,1994,3000,1300,400,400,800
all_households,all_quintiles,1995,3100,1400,400,500,800
all_households,all_quintiles,1996,3000,1400,400,500,800
all_households,all_quintiles,1997,2900,1400,300,500,700
all_households,all_quintiles,1998,3000,1600,300,500,600
all_households,all_quintiles,1999,3000,1800,200,500,600
all_households,all_quintiles,2000,3200,1900,200,400,600
all_households,all_quintiles,2001,3400,2100,200,500,600
all_households,all_quintiles,2002,3700,2400,300,500,600
all_households,all_quintiles,2003,3900,2600,300,500,600
all_households,all_quintiles,2004,4100,2800,300,500,600
all_households,all_quintiles,2005,4200,2700,400,500,600
all_households,all_quintiles,2006,4100,2600,300,500,700
all_households,all_quintiles,2007,4200,2700,400,500,700
all_households,all_quintiles,2008,4400,2800,400,500,700
all_households,all_quintiles,2009,5000,3100,600,500,700
all_households,all_quintiles,2010,5200,3200,700,500,800
all_households,all_quintiles,2011,5400,3300,800,500,800
all_households,all_quintiles,2012,5400,3400,800,500,700
all_households,all_quintiles,2013,5500,3500,700,500,700
all_households,all_quintiles,2014,6100,4200,700,500,800
all_households,all_quintiles,2015,6600,4700,700,500,800
all_households,all_quintiles,2016,6800,4800,600,500,900
all_households,all_quintiles,2017,6800,4900,600,500,800
all_households,all_quintiles,2018,6700,4900,500,500,800
all_households,all_quintiles,2019,6800,5100,500,500,800
all_households,all_quintiles,2020,10600,5400,700,500,4000
all_households,all_quintiles,2021,9400,5600,900,500,2500
all_households,all_quintiles,2022,7900,5700,900,400,900
all_households,lowest_quintile,1979,5200,1500,900,800,2000
all_households,lowest_quintile,1980,5500,1500,1000,900,2000
all_households,lowest_quintile,1981,5700,1600,1100,800,2100
all_households,lowest_quintile,1982,5800,1700,1000,900,2300
all_households,lowest_quintile,1983,6300,1800,1100,800,2500
all_households,lowest_quintile,1984,5900,1700,1000,800,2300
all_households,lowest_quintile,1985,6300,1900,1000,900,2500
all_households,lowest_quintile,1986,6300,2000,900,900,2500
all_households,lowest_quintile,1987,6700,2200,1000,900,2600
all_households,lowest_quintile,1988,6800,2300,1000,1000,2600
all_households,lowest_quintile,1989,7000,2500,1000,1000,2600
all_households,lowest_quintile,1990,7600,2800,1100,1000,2700
all_households,lowest_quintile,1991,8200,3200,1200,1100,2700
all_households,lowest_quintile,1992,8800,3600,1300,1300,2700
all_households,lowest_quintile,1993,9300,3800,1300,1300,2900
all_households,lowest_quintile,1994,9400,3900,1300,1400,2900
all_households,lowest_quintile,1995,9400,4000,1200,1400,2800
all_households,lowest_quintile,1996,9300,4000,1200,1500,2600
all_households,lowest_quintile,1997,8800,4100,900,1500,2300
all_households,lowest_quintile,1998,9000,4500,800,1400,2200
all_households,lowest_quintile,1999,9000,4800,800,1400,2000
all_households,lowest_quintile,2000,9100,5200,700,1400,1900
all_households,lowest_quintile,2001,9700,5600,800,1400,1900
all_households,lowest_quintile,2002,10000,6000,800,1400,1900
all_households,lowest_quintile,2003,10500,6300,900,1400,1900
all_households,lowest_quintile,2004,10800,6700,1000,1300,1800
all_households,lowest_quintile,2005,10800,6500,1100,1300,1900
all_households,lowest_quintile,2006,10800,6200,1100,1300,2200
all_households,lowest_quintile,2007,10800,6200,1100,1300,2200
all_households,lowest_quintile,2008,11100,6500,1200,1300,2100
all_households,lowest_quintile,2009,12400,6900,1600,1500,2400
all_households,lowest_quintile,2010,12700,7100,1800,1500,2400
all_households,lowest_quintile,2011,13000,7400,1900,1400,2300
all_households,lowest_quintile,2012,13100,7500,2000,1500,2100
all_households,lowest_quintile,2013,13400,7900,1900,1500,2100
all_households,lowest_quintile,2014,14500,9100,1700,1400,2200
all_households,lowest_quintile,2015,14900,9600,1700,1400,2300
all_households,lowest_quintile,2016,15100,9800,1600,1400,2400
all_households,lowest_quintile,2017,15100,10000,1500,1300,2300
all_households,lowest_quintile,2018,15300,10300,1400,1300,2300
all_households,lowest_quintile,2019,15200,10300,1300,1300,2300
all_households,lowest_quintile,2020,19300,10600,1600,1200,5900
all_households,lowest_quintile,2021,18700,10700,2200,1200,4600
all_households,lowest_quintile,2022,16200,10500,2100,1100,2500
all_households,second_quintile,1979,1300,400,300,200,500
all_households,second_quintile,1980,1500,400,300,200,600
all_households,second_quintile,1981,1500,400,400,200,600
all_households,second_quintile,1982,1500,400,300,200,600
all_households,second_quintile,1983,1300,400,300,200,400
all_households,second_quintile,1984,1300,400,300,200,500
all_households,second_quintile,1985,1200,400,200,200,500
all_households,second_quintile,1986,1300,400,200,200,500
all_households,second_quintile,1987,1200,400,100,200,400
all_households,second_quintile,1988,1200,400,200,200,400
all_households,second_quintile,1989,1400,500,200,200,400
all_households,second_quintile,1990,1600,700,200,200,500
all_households,second_quintile,1991,2000,900,300,300,600
all_households,second_quintile,1992,2500,1100,400,300,600
all_households,second_quintile,1993,2800,1300,400,400,700
all_households,second_quintile,1994,2800,1300,400,400,700
all_households,second_quintile,1995,2900,1400,400,400,600
all_households,second_quintile,1996,2800,1400,400,400,600
all_households,second_quintile,1997,2700,1400,300,300,600
all_households,second_quintile,1998,3100,1900,300,400,600
all_households,second_quintile,1999,3200,2100,200,400,500
