household_type,income_group,year,federal_taxes,individual_inc_tax,payroll_taxes,corporate_inc_tax,excise_taxes
all_households,all_quintiles,1979,17500,8700,5400,2700,700
all_households,all_quintiles,1980,16900,8900,5300,2100,600
all_households,all_quintiles,1981,17100,9200,5700,1700,600
all_households,all_quintiles,1982,15800,8400,5800,1000,600
all_households,all_quintiles,1983,15700,7900,5800,1400,700
all_households,all_quintiles,1984,16900,8200,6300,1600,800
all_households,all_quintiles,1985,17300,8400,6500,1500,800
all_households,all_quintiles,1986,18500,9200,6800,1700,800
all_households,all_quintiles,1987,18500,8800,6900,2100,800
all_households,all_quintiles,1988,19400,9300,7200,2100,800
all_households,all_quintiles,1989,19300,9200,7300,2100,700
all_households,all_quintiles,1990,19200,9100,7500,1900,800
all_households,all_quintiles,1991,18700,8600,7500,1700,800
all_households,all_quintiles,1992,19300,8900,7600,1900,900
all_households,all_quintiles,1993,19800,9000,7600,2200,900
all_households,all_quintiles,1994,20300,9100,7800,2400,1000
all_households,all_quintiles,1995,21400,9700,8000,2700,1000
all_households,all_quintiles,1996,22400,10500,8200,2800,900
all_households,all_quintiles,1997,23600,11300,8400,2900,900
all_households,all_quintiles,1998,24500,11900,8800,2800,1000
all_households,all_quintiles,1999,26100,13000,9100,2900,1100
all_households,all_quintiles,2000,26800,13700,9200,2800,1000
all_households,all_quintiles,2001,23700,11500,9300,1900,900
all_households,all_quintiles,2002,21900,10300,9000,1700,900
all_households,all_quintiles,2003,21400,9100,9000,2300,900
all_households,all_quintiles,2004,23000,9900,9100,3000,900
all_households,all_quintiles,2005,24800,10800,9200,3900,900
all_households,all_quintiles,2006,25900,11400,9300,4300,800
all_households,all_quintiles,2007,26100,12000,9600,3800,800
all_households,all_quintiles,2008,22000,9500,9500,2200,700
all_households,all_quintiles,2009,20000,8400,9200,1700,700
all_households,all_quintiles,2010,21100,9000,9000,2300,700
all_households,all_quintiles,2011,20800,9800,7900,2300,800
all_households,all_quintiles,2012,22400,11000,7900,2800,800
all_households,all_quintiles,2013,24300,11200,9300,2900,800
all_households,all_quintiles,2014,25700,12100,9400,3300,900
all_households,all_quintiles,2015,26500,12700,9700,3100,900
all_households,all_quintiles,2016,26000,12400,9800,2900,900
all_households,all_quintiles,2017,26600,13500,10000,2200,800
all_households,all_quintiles,2018,25400,12300,10200,2100,800
all_households,all_quintiles,2019,26000,12600,10600,2000,800
all_households,all_quintiles,2020,22700,9500,10400,2000,700
all_households,all_quintiles,2021,25800,12300,10500,2400,600
all_households,all_quintiles,2022,29400,15100,10700,2900,600
all_households,lowest_quintile,1979,1200,-100,700,300,300
all_households,lowest_quintile,1980,1100,-100,600,200,300
all_households,lowest_quintile,1981,1100,-100,700,200,300
all_households,lowest_quintile,1982,1000,-100,700,100,300
all_households,lowest_quintile,1983,1100,-100,600,100,400
all_households,lowest_quintile,1984,1400,0,800,200,400
all_households,lowest_quintile,1985,1300,0,800,100,400
all_households,lowest_quintile,1986,1300,0,800,200,400
all_households,lowest_quintile,1987,1100,-100,700,200,400
all_households,lowest_quintile,1988,1100,-200,700,200,400
all_households,lowest_quintile,1989,1100,-200,800,200,400
all_households,lowest_quintile,1990,1300,-200,900,200,400
all_households,lowest_quintile,1991,1200,-300,900,200,500
all_households,lowest_quintile,1992,1200,-300,900,200,500
all_households,lowest_quintile,1993,1200,-400,800,200,500
all_households,lowest_quintile,1994,1000,-600,800,200,600
all_households,lowest_quintile,1995,900,-800,900,200,500
all_households,lowest_quintile,1996,800,-900,1000,200,500
all_households,lowest_quintile,1997,900,-900,1100,200,500
all_households,lowest_quintile,1998,1000,-1000,1200,200,600
all_households,lowest_quintile,1999,1200,-1000,1300,200,600
all_households,lowest_quintile,2000,1100,-800,1200,200,500
all_households,lowest_quintile,2001,900,-1000,1200,200,500
all_households,lowest_quintile,2002,800,-1000,1100,100,500
all_households,lowest_quintile,2003,900,-900,1000,200,500
all_households,lowest_quintile,2004,800,-900,1100,200,500
all_households,lowest_quintile,2005,800,-1100,1100,200,500
all_households,lowest_quintile,2006,900,-1100,1200,300,500
all_households,lowest_quintile,2007,800,-1300,1400,200,400
all_households,lowest_quintile,2008,-100,-2000,1300,200,400
all_households,lowest_quintile,2009,0,-1700,1100,100,400
all_households,lowest_quintile,2010,0,-1700,1100,100,500
all_households,lowest_quintile,2011,100,-1500,1000,100,500
