year,CPI_U_idx,Chained_idx,True_CPI_idx,CPI_U_cum,Chained_cum,True_CPI_cum,quality_bias_pp,cum_quality_deflator,CPIMEDSL,SUUR0000SAM,cpi_med_cum,ccpi_med_cum,CUSR0000SAH1,SUUR0000SAH1,CUSR0000SETB01,dbpi_cumulative,dbpi_cum
1979,100.0,100.0,100.0,0.0,0.0,0.0,0.6,1.0,67.475,,-73.0701,,68.8667,,70.1417,,
1980,113.5017,110.7688,110.1081,13.5017,10.7688,10.1081,0.6,1.006,74.8583,,-70.1234,,80.9583,,97.4667,,
1981,125.2813,120.6924,119.257,25.2813,20.6924,19.257,0.6,1.012,82.925,,-66.9039,,90.425,,108.5167,,
1982,132.9966,127.3964,125.1305,32.9966,27.3964,25.1305,0.6,1.0181,92.6167,,-63.0359,,96.8333,,102.8167,,
1983,137.1986,132.8149,129.6746,37.1986,32.8149,29.6746,0.6,1.0242,100.6583,,-59.8264,,99.1333,,99.4,,
1984,143.1917,137.8315,133.77,43.1917,37.8315,33.77,0.6,1.0304,106.975,,-57.3054,,103.925,,97.7833,,
1985,148.2434,142.6394,137.6105,48.2434,42.6394,37.6105,0.6,1.0365,113.6167,,-54.6546,,109.7667,,98.5667,,
1986,151.1251,145.7429,139.766,51.1251,45.7429,39.766,0.6,1.0428,122.1667,,-51.2422,,115.775,,77.125,,
1987,156.5327,150.2473,143.2263,56.5327,50.2473,43.2263,0.6,1.049,130.175,,-48.046,,121.2667,,80.075,,
1988,162.9506,156.1185,147.9356,62.9506,56.1185,47.9356,0.6,1.0553,138.625,,-44.6736,,127.0833,,80.775,,
1989,170.7577,162.9358,153.4747,70.7577,62.9358,53.4747,0.6,1.0616,149.25,,-40.433,,132.8333,,88.4083,,
1990,180.0115,170.0892,159.2571,80.0115,70.0892,59.2571,0.6,1.068,162.8083,,-35.0218,,139.975,,100.8583,,
1991,187.6005,175.7768,163.601,87.6005,75.7768,63.601,0.6,1.0744,177.0167,,-29.3511,,146.275,,99.2667,,
1992,193.3065,180.4622,166.96,93.3065,80.4622,66.96,0.6,1.0809,190.0583,,-24.1461,,151.2,,98.9667,,
1993,199.0471,184.9573,170.0982,99.0471,84.9573,70.0982,0.6,1.0874,201.4,,-19.6195,,155.7417,,97.825,,
1994,204.2135,188.8168,172.6119,104.2135,88.8168,72.6119,0.6,1.0939,211.025,,-15.7781,,160.525,,98.2,,
1995,209.9426,192.7921,175.195,109.9426,92.7921,75.195,0.6,1.1004,220.45,,-12.0165,,165.7,,99.7917,,
