year,total_giving_B,religion_B,education_B,human_services_B,health_B,public_society_benefit_B,arts_culture_humanities_B,international_affairs_B,environment_animals_B,gifts_to_foundations_B,gifts_to_individuals_B,unallocated_B,source_ref
1979,43.11,20.17,4.7,4.31,4.28,1.82,1.98,,,2.21,,3.64,A
1980,48.63,22.23,5.07,4.45,4.48,2.28,2.12,,,1.98,,6.02,A
1981,55.28,25.05,5.93,4.59,4.63,2.13,2.28,,,2.39,,8.28,A
1982,59.11,28.06,4.94,2.88,3.06,3.21,0.97,,,4.0,,10.29,A
1983,63.21,31.84,5.33,3.04,3.46,3.77,1.41,,,2.71,,10.06,A
1984,68.58,35.55,6.37,3.34,3.87,4.68,1.69,,,3.36,,7.9,A
1985,71.69,38.21,6.75,3.68,4.59,4.09,1.89,,,4.73,,5.98,A
1986,83.25,41.68,8.46,3.77,4.37,7.66,2.5,,,4.96,,7.59,A
1987,82.2,43.51,8.08,3.99,4.71,4.86,2.6,1.45,0.84,5.16,,7.0,A
1988,88.04,45.15,8.79,4.45,5.59,5.2,3.01,1.46,0.94,3.93,,9.52,A
1989,98.3,47.77,11.31,6.52,6.42,6.02,3.42,1.64,1.08,4.41,,9.71,A
1990,98.48,49.79,11.83,6.69,7.75,6.56,3.69,2.06,1.29,3.83,,4.99,A
1991,102.58,50.0,12.1,7.5,7.63,6.73,3.82,1.62,1.49,4.46,,7.23,A
1992,111.29,50.95,13.21,9.14,8.52,7.15,4.16,2.12,1.59,5.01,,9.44,A
1993,116.58,52.89,14.36,9.67,8.79,8.27,4.26,1.94,1.79,6.26,,8.35,A
1994,120.05,56.43,14.09,9.67,8.98,8.11,4.6,2.47,1.99,6.33,,7.38,A
1995,123.1,58.07,16.47,10.67,17.92,8.76,5.29,2.63,2.23,8.46,,-7.4,A
1996,138.89,61.9,17.94,11.97,18.35,9.4,5.98,2.99,2.6,12.63,,-4.87,A
1997,162.46,64.69,22.0,14.35,13.62,11.23,7.18,3.14,2.91,13.96,,9.38,A
1998,176.56,68.25,23.98,16.32,12.77,12.51,8.1,4.11,3.79,19.92,,6.81,A
1999,203.19,71.25,26.63,17.56,13.58,13.58,8.8,5.36,4.52,28.76,,13.15,A
2000,229.66,76.95,28.81,20.79,15.3,15.0,10.56,6.28,4.87,24.71,,26.39,A
2001,232.09,79.87,28.07,24.28,16.41,16.56,9.73,6.68,5.3,25.67,,19.52,A
2002,232.72,82.98,27.25,22.71,15.7,14.22,9.93,7.97,4.66,19.16,,28.14,A
2003,237.45,84.12,29.59,23.49,17.78,15.96,11.11,9.44,4.98,21.62,,19.36,A
2004,260.26,87.51,31.66,26.1,19.06,17.66,11.23,11.52,5.78,20.32,1.74,27.68,A
2005,292.43,90.86,34.99,30.35,20.33,20.76,12.43,12.71,6.47,24.46,3.11,35.96,A
2006,296.09,94.63,40.07,30.74,24.22,23.16,13.92,13.51,7.39,27.1,3.83,17.52,A
2007,311.06,97.79,42.69,31.45,25.28,19.99,14.92,15.78,8.05,37.67,3.37,14.07,A
2008,299.61,98.22,35.89,35.44,24.14,17.95,12.29,20.57,7.71,30.14,3.6,13.66,A
2009,274.78,99.56,34.96,35.95,26.08,17.31,12.59,16.39,7.32,32.39,4.2,-11.97,A
2010,288.16,97.54,42.22,36.78,27.68,19.21,13.38,13.89,7.93,27.51,3.21,-1.19,A
2011,298.45,101.78,45.05,38.91,28.59,21.03,14.34,15.38,8.41,32.05,4.25,-11.34,A
2012,320.97,105.77,47.82,40.63,30.06,22.01,15.45,16.0,9.04,42.3,3.65,-11.76,A
2013,335.17,105.53,52.07,41.51,31.86,23.89,16.66,14.93,9.72,35.74,3.7,-0.44,A
2014,358.38,114.9,54.62,42.1,30.37,26.29,17.23,15.1,10.5,41.62,6.42,-0.77,B
2015,373.25,119.3,57.48,45.21,29.81,26.95,17.07,15.75,10.68,42.26,6.56,,C
2016,390.05,122.94,59.77,46.8,33.14,29.89,18.21,22.03,11.05,40.56,7.12,,D
2017,410.02,127.37,58.9,50.06,38.27,29.59,19.51,22.97,11.83,45.89,7.87,,E
2018,427.71,124.52,58.72,51.54,40.78,31.21,19.49,22.88,12.7,50.29,9.06,,F
2019,449.64,128.17,64.11,55.99,41.46,37.16,21.64,28.89,14.16,53.51,10.11,,G
2020,471.44,131.08,71.34,65.14,42.12,48.0,19.47,25.89,16.14,58.17,16.22,,H
2021,484.85,135.78,70.79,65.33,40.58,55.85,23.5,27.44,16.32,64.26,11.74,-26.75,I
2022,499.33,143.57,70.07,71.98,51.08,46.86,24.67,33.71,16.1,56.84,12.98,-28.54,J
