Year,Total_Cost,Benefit_Payments,Administrative_Expenses,Transfers_to_Railroad_Retirement
1957,59,57,3,
1958,261,249,12,
1959,485,457,50,-22
1960,600,568,36,-5
1961,956,887,64,5
1962,1183,1105,66,11
1963,1297,1210,68,20
1964,1407,1309,79,19
1965,1687,1573,90,24
1966,1947,1784,137,25
1967,2089,1950,109,31
1968,2458,2311,127,20
1969,2716,2557,138,21
1970,3259,3085,164,10
1971,4000,3783,205,13
1972,4759,4502,233,24
1973,5973,5764,190,20
1974,7196,6957,217,22
1975,8790,8505,256,29
1976,10366,10055,285,26
1977,11945,11547,399,0
1978,12954,12599,325,30
1979,14186,13786,371,30
1980,15872,15515,368,-12
1981,17658,17192,436,29
1982,17992,17376,590,26
1983,18177,17524,625,28
1984,18546,17898,626,22
1985,19478,18827,608,43
1986,20522,19853,600,68
1987,21425,20519,849,57
1988,22494,21695,737,61
1989,23753,22911,754,88
1990,25616,24829,707,80
1991,28571,27695,794,82
1992,32004,31112,834,58
1993,35662,34613,966,83
1994,38879,37744,1029,106
1995,42055,40923,1064,68
1996,45351,44189,1160,2
1997,47034,45695,1280,59
1998,49931,48207,1567,157
1999,53035,51381,1519,135
2000,56782,54983,1639,159
2001,61369,59618,1741,10
2002,67905,65702,2049,154
2003,73108,70933,2008,167
2004,80597,78229,2152,215
2005,88018,85365,2315,338
2006,94456,91741,2326,388
2007,98778,95865,2468,445
2008,108951,106007,2526,418
2009,121506,118315,2743,448
2010,127660,124216,2982,462
2011,132332,128948,2920,465
2012,140299,136897,2890,512
2013,143450,140130,2769,551
2014,145060,141683,2933,444
2015,146581,143370,2792,419
2016,145917,142781,2760,376
2017,145809,142806,2796,207
2018,146770,143741,2856,174
2019,147876,145121,2689,66
2020,146260,143561,2555,144
2021,142646,140058,2481,107
2022,146470,143567,2747,156
2023,154815,151917,2839,60
2024,157595,155013,2508,74
