Year,Total_Cost,Benefit_Payments,Administrative_Expenses,Transfers_to_Railroad_Retirement
1957,7508,7347,161,-2
1958,8646,8327,195,124
1959,10308,9841,184,282
1960,11198,10677,204,319
1961,12432,11862,239,332
1962,13973,13356,256,361
1963,14920,14217,280,422
1964,15613,14914,296,403
1965,17500,16738,328,435
1966,18966,18267,256,444
1967,20382,19467,406,508
1968,23557,22643,476,438
1969,25176,24210,474,492
1970,29849,28799,471,579
1971,34542,33414,514,613
1972,38522,37123,674,725
1973,47175,45744,647,782
1974,53397,51624,865,909
1975,60394,58517,896,981
1976,67876,65704,959,1213
1977,75309,73120,980,1208
1978,83064,80361,1115,1588
1979,93134,90573,1112,1447
1980,107678,105083,1154,1442
1981,126694,123803,1307,1585
1982,142119,138806,1519,1794
1983,153000,149221,1528,2251
1984,161883,157841,1638,2404
1985,171150,167248,1592,2310
1986,181000,176814,1602,2585
1987,187668,183587,1524,2557
1988,200020,195454,1776,2790
1989,212489,207971,1673,2846
1990,227519,222987,1563,2969
1991,245634,240467,1793,3375
1992,259861,254883,1830,3148
1993,273104,267755,1997,3352
1994,284132,279068,1645,3420
1995,297760,291631,2077,4052
1996,308218,302861,1802,3554
1997,322074,316257,2129,3688
1998,332324,326762,1900,3662
1999,339873,334384,1809,3681
2000,358339,352652,2149,3539
2001,377547,372313,1961,3273
2002,393748,388119,2136,3493
2003,405978,399845,2554,3580
2004,421046,415034,2384,3629
2005,441920,435383,2957,3579
2006,460965,454497,3011,3458
2007,495723,489074,3074,3575
2008,516192,509337,3223,3632
2009,564295,557167,3439,3689
2010,584866,577393,3543,3930
2011,603751,596155,3485,4109
2012,645482,637894,3448,4139
2013,679475,672129,3397,3948
2014,714170,706780,3133,4257
2015,750542,742908,3377,4258
2016,776359,768603,3469,4287
2017,806669,798693,3661,4315
2018,853463,844894,3800,4768
2019,911423,902809,3733,4880
2020,960954,952363,3748,4844
2021,1001936,993133,4011,4793
2022,1097455,1088140,3999,5315
2023,1237295,1227351,4367,5576
2024,1327158,1316360,4939,5859
