Year,Total_Cost,Benefit_Payments,Administrative_Expenses,Transfers_to_Railroad_Retirement
1957,7567,7404,164,-2
1958,8907,8576,207,124
1959,10793,10298,234,260
1960,11798,11245,240,314
1961,13388,12749,303,337
1962,15156,14461,322,372
1963,16217,15427,348,442
1964,17020,16223,375,422
1965,19187,18311,418,459
1966,20913,20051,393,469
1967,22471,21417,515,539
1968,26015,24954,603,458
1969,27892,26767,612,513
1970,33108,31884,635,589
1971,38542,37197,719,626
1972,43281,41625,907,749
1973,53148,51508,837,802
1974,60593,58581,1082,931
1975,69184,67022,1152,1010
1976,78242,75759,1244,1239
1977,87254,84667,1379,1208
1978,96018,92960,1440,1618
1979,107320,104359,1483,1477
1980,123550,120598,1522,1430
1981,144352,140995,1743,1614
1982,160111,156182,2109,1820
1983,171177,166745,2153,2279
1984,180429,175739,2264,2426
1985,190628,186075,2200,2353
1986,201522,196667,2202,2653
1987,209093,204106,2373,2614
1988,222514,217149,2513,2851
1989,236242,230882,2427,2934
1990,253135,247816,2270,3049
1991,274205,268162,2587,3457
1992,291865,285995,2664,3206
1993,308766,302368,2963,3435
1994,323011,316812,2674,3526
1995,339815,332554,3141,4120
1996,353569,347050,2962,3556
1997,369108,361952,3409,3747
1998,382255,374969,3467,3819
1999,392908,385765,3328,3816
2000,415121,407635,3788,3698
2001,438916,431931,3702,3283
2002,461653,453821,4185,3647
2003,479086,470778,4562,3747
2004,501643,493263,4536,3844
2005,529938,520748,5272,3917
2006,555421,546238,5337,3846
2007,594501,584939,5542,4020
2008,625143,615344,5749,4050
2009,685801,675482,6182,4137
2010,712526,701609,6525,4392
2011,736083,725103,6405,4574
2012,785781,774791,6338,4651
2013,822925,812259,6166,4499
2014,859230,848463,6066,4701
2015,897123,886278,6169,4677
2016,922276,911384,6229,4663
2017,952478,941499,6457,4522
2018,1000233,988635,6656,4942
2019,1059299,1047930,6422,4946
2020,1107214,1095924,6303,4988
2021,1144582,1133191,6492,4900
2022,1243925,1231707,6746,5471
2023,1392110,1379268,7206,5636
2024,1484753,1471373,7447,5933
