Year,Total_Income,Net_Payroll_Tax_Contributions,Income_From_Taxation_of_Benefits,General_Fund_Transfers,Net_Interest
1957,8090,7527,,,563
1958,9108,8531,,,577
1959,9516,8943,,,572
1960,12445,11876,,,569
1961,12937,12323,,,614
1962,13699,13105,,,594
1963,16227,15640,,,587
1964,17476,16843,,,633
1965,17857,17205,,,651
1966,23381,22585,,94.0,702
1967,26413,25424,,94.0,896
1968,28493,27034,,414.0,1045
1969,33346,31546,,458.0,1342
1970,36993,34737,,465.0,1791
1971,40908,38343,,538.0,2027
1972,45622,42888,,526.0,2208
1973,54787,51907,,494.0,2386
1974,62066,58907,,499.0,2660
1975,67640,64259,,515.0,2866
1976,75034,71595,,717.0,2722
1977,81982,78710,,741.0,2531
1978,91903,88883,,757.0,2264
1979,105864,103034,,675.0,2155
1980,119712,116711,,670.0,2330
1981,142438,139364,,843.0,2231
1982,147913,145667,,854.0,1391
1983,171266,156328,,6662.0,8276
1984,186637,175019,3025.0,5153.0,3440
1985,203540,192142,3430.0,5227.0,2741
1986,216833,207384,3662.0,1916.0,3871
1987,231039,220630,3221.0,1850.0,5338
1988,263469,249520,3445.0,2336.0,8168
1989,289448,271925,2534.0,2297.0,12692
1990,315443,294513,4992.0,-1307.0,17245
1991,329676,301605,6054.0,125.0,21892
1992,342591,311280,6084.0,-138.0,25365
1993,355578,322046,5616.0,54.0,27862
1994,381111,344689,5306.0,14.0,31103
1995,399497,359063,5831.0,-375.0,34977
1996,424451,378880,6844.0,9.0,38718
1997,457668,405982,7896.0,3.0,43787
1998,489204,430172,9707.0,2.0,49323
1999,526582,459555,11559.0,1.0,55466
2000,568433,492484,12314.0,-835.0,64471
2001,602003,516392,12715.0,2.0,72895
2002,627085,532470,13839.0,415.0,80362
2003,631886,533518,13441.0,1.0,84926
2004,657718,553039,15703.0,1.0,88975
2005,701758,592940,14916.0,-350.0,94252
2006,744873,625594,16858.0,0.0,102420
2007,784889,656120,18585.0,8.0,110176
2008,805302,672122,16879.0,0.0,116301
2009,807490,667257,21884.0,0.0,118349
2010,781128,637283,23942.0,2405.0,117498
2011,805057,564231,23792.0,102680.0,114355
2012,840190,589508,27258.0,114280.0,109143
2013,855021,726217,21086.0,4899.0,102820
2014,884276,755969,29637.0,465.0,98204
2015,920157,794892,31625.0,325.0,93314
2016,957453,836178,32817.0,102.0,88356
2017,996581,873592,37850.0,20.0,85119
2018,1003373,885051,35017.0,22.0,83283
2019,1061775,944468,36473.0,13.0,80821
2020,1118096,1001272,40736.0,3.0,76085
2021,1088326,980602,37610.0,1.0,70113
2022,1221782,1106602,48624.0,183.0,66372
2023,1350686,1233100,50714.0,0.0,66872
2024,1417757,1293331,55052.0,244.0,69129
