year,lifeline_li_M,high_cost_M,rural_hc_M,schools_libs_M,usf_total_M,li_source
1998,464.0,1696.8,,,2160.8,USAC Annual Report (fallback)
1999,480.0,1722.0,,,2202.0,USAC Annual Report (fallback)
2000,519.0,2240.0,,,2759.0,USAC Annual Report (fallback)
2001,590.0,2620.0,,,3210.0,USAC Annual Report (fallback)
2002,673.0,2980.0,,,3653.0,USAC Annual Report (fallback)
2003,716.0,3150.0,10.6,1680.0,5556.6,USAC Annual Report (fallback)
2004,748.0,3310.0,12.8,1076.0,5146.8,USAC Annual Report (fallback)
2005,782.0,3490.0,18.5,1790.0,6080.5,USAC Annual Report (fallback)
2006,819.0,3580.0,23.4,1970.0,6392.4,USAC Annual Report (fallback)
2007,833.0,3730.0,24.1,2160.0,6747.1,USAC Annual Report (fallback)
2008,880.0,4480.0,26.0,2380.0,7766.0,USAC Annual Report (fallback)
2009,1007.0,4290.0,28.0,2160.0,7485.0,USAC Annual Report (fallback)
2010,1300.0,4270.0,64.0,2370.0,8004.0,USAC Annual Report (fallback)
2011,1750.0,4030.0,81.5,2230.0,8091.5,USAC Annual Report (fallback)
2012,2190.0,4150.0,155.0,2220.0,8715.0,USAC Annual Report (fallback)
2013,1786.9,4380.0,200.0,2440.0,8806.9,Lifeline Data & Statistics XLSX (ILEC+CETC)
2014,1629.3,4500.0,190.0,2510.0,8829.3,Lifeline Data & Statistics XLSX (ILEC+CETC)
2015,1509.5,4500.0,165.0,2540.0,8714.5,Lifeline Data & Statistics XLSX (ILEC+CETC)
2016,1520.7,4510.0,185.0,2510.0,8725.7,Lifeline Data & Statistics XLSX (ILEC+CETC)
2017,1274.3,4530.0,200.0,2440.0,8444.3,Lifeline Data & Statistics XLSX (ILEC+CETC)
2018,1138.5,4380.0,204.0,2440.0,8162.5,Lifeline Data & Statistics XLSX (ILEC+CETC)
2019,947.4,4770.0,295.0,2530.0,8542.4,Lifeline Data & Statistics XLSX (ILEC+CETC)
2020,869.3,4770.0,375.0,2620.0,8634.3,Lifeline Data & Statistics XLSX (ILEC+CETC)
2021,762.8,4520.0,450.0,2840.0,8572.8,Lifeline Data & Statistics XLSX (ILEC+CETC)
2022,745.6,4700.0,490.0,3090.0,9025.6,Lifeline Data & Statistics XLSX (ILEC+CETC)
