income_year,quintile,quintile_name,wages,wages_raw,labor_correction_pct,labor_correction_nominal,benefits,capital_income,total,max_earned_income,n_households,survey_year,pre_1988_flag
1979,1,Bottom,281,240,17.1,41,2100,387,2768,3812,12942,1980,1
1979,2,Second,6008,5482,9.6,526,6300,1087,13395,13311,13313,1980,1
1979,3,Middle,14608,13678,6.8,930,8500,911,24019,23087,13375,1980,1
1979,4,Fourth,22742,21825,4.2,917,10000,1204,33946,34589,13022,1980,1
1979,5,Top,39032,37675,3.6,1356,13100,13892,66023,182653,12586,1980,1
1980,1,Bottom,249,213,17.1,36,1800,380,2429,3827,13071,1981,1
1980,2,Second,6272,5722,9.6,549,5700,1085,13057,14044,13373,1981,1
1980,3,Middle,15158,14193,6.8,965,7800,1085,24043,24554,13390,1981,1
1980,4,Fourth,24244,23267,4.2,977,9500,1364,35108,37628,13092,1981,1
1980,5,Top,41652,40204,3.6,1447,12800,12832,67284,309758,12805,1981,1
1981,1,Bottom,233,199,17.1,34,1700,409,2342,4000,11853,1982,1
1981,2,Second,6393,5833,9.6,560,5900,1290,13583,15023,11873,1982,1
1981,3,Middle,16049,15028,6.8,1022,8100,1190,25339,26401,12075,1982,1
1981,4,Fourth,26013,24964,4.2,1049,10200,1454,37667,40727,11873,1982,1
1981,5,Top,46216,44610,3.6,1606,13500,12669,72384,229939,11602,1982,1
1982,1,Bottom,222,190,17.1,32,1500,423,2145,4000,11805,1983,1
1982,2,Second,6385,5825,9.6,559,5500,1466,13351,15306,12028,1983,1
1982,3,Middle,16488,15438,6.8,1050,8300,1306,26095,27296,12019,1983,1
1982,4,Fourth,27020,25931,4.2,1089,10500,1626,39146,42851,11871,1983,1
1982,5,Top,49401,47684,3.6,1717,14600,13405,77406,244746,11488,1983,1
1983,1,Bottom,257,219,17.1,38,1400,419,2076,4082,11786,1984,1
1983,2,Second,6499,5930,9.6,569,5500,1586,13585,15974,11988,1984,1
1983,3,Middle,16927,15849,6.8,1078,8600,1498,27025,28614,12026,1984,1
1983,4,Fourth,28356,27213,4.2,1143,11000,1912,41267,45070,11787,1984,1
1983,5,Top,52122,50311,3.6,1811,15400,16926,84448,388294,11584,1984,1
1984,1,Bottom,364,311,17.1,53,1900,499,2763,5000,11943,1985,1
1984,2,Second,7266,6630,9.6,636,6400,1745,15411,17577,12091,1985,1
1984,3,Middle,18446,17272,6.8,1174,9100,1858,29405,31012,12050,1985,1
1984,4,Fourth,30538,29307,4.2,1231,11900,2219,44657,48875,11962,1985,1
1984,5,Top,56309,54352,3.6,1957,17100,19674,93083,409745,11753,1985,1
1985,1,Bottom,401,342,17.1,59,1600,394,2395,5200,11879,1986,1
1985,2,Second,7723,7046,9.6,676,6400,1743,15866,18495,11846,1986,1
1985,3,Middle,19483,18242,6.8,1240,9800,1715,30997,32638,11828,1986,1
1985,4,Fourth,32350,31046,4.2,1304,12500,2205,47055,51449,11736,1986,1
1985,5,Top,59602,57531,3.6,2071,18100,22276,99978,315248,11646,1986,1
1986,1,Bottom,392,335,17.1,57,1800,506,2698,5255,11714,1987,1
1986,2,Second,7998,7297,9.6,701,6900,1764,16662,19209,11798,1987,1
1986,3,Middle,20529,19221,6.8,1307,10100,2003,32632,34489,11813,1987,1
1986,4,Fourth,34168,32790,4.2,1377,13200,2639,50007,54165,11641,1987,1
1986,5,Top,63587,61377,3.6,2210,18700,40053,122340,379089,11313,1987,1
1987,1,Bottom,538,460,17.1,79,1700,509,2747,6000,11807,1988,0
1987,2,Second,8697,7936,9.6,762,7000,2164,17861,20488,11892,1988,0
1987,3,Middle,21552,20180,6.8,1372,10200,2245,33997,36546,11981,1988,0
1987,4,Fourth,35924,34476,4.2,1448,13900,2584,52409,57498,11781,1988,0
1987,5,Top,66105,63808,3.6,2297,20200,19622,105927,550155,11514,1988,0
1988,1,Bottom,574,491,17.1,84,1700,507,2781,6378,11145,1989,0
1988,2,Second,9303,8488,9.6,815,7500,1994,18797,21684,11458,1989,0
1988,3,Middle,22726,21279,6.8,1447,11200,2135,36061,38289,11186,1989,0
1988,4,Fourth,37565,36051,4.2,1514,15100,2509,55174,60376,10942,1989,0
1988,5,Top,69420,67008,3.6,2412,23000,21222,113642,372701,10604,1989,0
1989,1,Bottom,659,563,17.1,96,1800,591,3050,7015,12031,1990,0
1989,2,Second,10005,9129,9.6,876,7700,2215,19920,23234,12170,1990,0
1989,3,Middle,24265,22720,6.8,1545,11300,2270,37835,40600,12070,1990,0
1989,4,Fourth,39835,38229,4.2,1606,15500,2763,58098,64026,12043,1990,0
1989,5,Top,73705,71144,3.6,2561,23700,20335,117740,466099,11627,1990,0
1990,1,Bottom,671,573,17.1,98,1900,572,3143,7200,12091,1991,0
1990,2,Second,10076,9194,9.6,883,7700,2192,19968,23755,12230,1991,0
1990,3,Middle,24700,23127,6.8,1573,12000,2007,38706,41317,12040,1991,0
1990,4,Fourth,40682,39043,4.2,1640,15900,2561,59144,65612,11934,1991,0
1990,5,Top,74875,72273,3.6,2602,24000,17004,115879,483224,11634,1991,0
1991,1,Bottom,590,504,17.1,86,1900,525,3015,6575,11946,1992,0
1991,2,Second,9670,8823,9.6,847,7800,2105,19575,23500,12080,1992,0
1991,3,Middle,24762,23185,6.8,1577,12000,2037,38798,42000,11999,1992,0
1991,4,Fourth,41722,40040,4.2,1682,15900,2466,60089,67579,11781,1992,0
1991,5,Top,76931,74258,3.6,2673,24300,14820,116051,476371,11413,1992,0
1992,1,Bottom,490,419,17.1,72,1700,462,2652,6378,11932,1993,0
1992,2,Second,9772,8916,9.6,856,7900,1859,19531,23597,11987,1993,0
1992,3,Middle,25139,23538,6.8,1601,12600,1932,39671,42816,11965,1993,0
1992,4,Fourth,42994,41261,4.2,1733,17100,2387,62481,69223,11688,1993,0
1992,5,Top,79518,76755,3.6,2763,26500,15357,121375,489241,11398,1993,0
1993,1,Bottom,389,332,17.1,57,1800,402,2591,6000,11604,1994,0
1993,2,Second,9733,8880,9.6,852,8300,1758,19790,23852,11500,1994,0
1993,3,Middle,25607,23976,6.8,1630,13300,1832,40739,43467,11503,1994,0
1993,4,Fourth,44047,42271,4.2,1775,17800,2544,64391,71688,11389,1994,0
1993,5,Top,82848,79969,3.6,2879,26900,17323,127071,599994,11083,1994,0
1994,1,Bottom,402,343,17.1,59,1800,419,2622,6378,11564,1995,0
1994,2,Second,10384,9474,9.6,910,8900,1741,21025,25036,11384,1995,0
1994,3,Middle,26866,25155,6.8,1711,13500,1837,42202,45219,11305,1995,0
1994,4,Fourth,45784,43939,4.2,1845,18300,2530,66614,74817,11520,1995,0
1994,5,Top,86324,83324,3.6,3000,28800,16969,132093,508597,11168,1995,0
1995,1,Bottom,654,559,17.1,96,2000,523,3177,7358,10180,1996,0
1995,2,Second,11358,10363,9.6,995,9200,1928,22486,26510,10072,1996,0
1995,3,Middle,28407,26598,6.8,1809,14300,1924,44630,47832,10032,1996,0
1995,4,Fourth,47726,45803,4.2,1924,19300,2903,69930,77726,9903,1996,0
1995,5,Top,100343,96856,3.6,3487,30000,19892,150235,880583,9495,1996,0
1996,1,Bottom,763,651,17.1,111,2000,489,3252,7653,10277,1997,0
1996,2,Second,12125,11063,9.6,1062,9400,1986,23510,28061,10341,1997,0
1996,3,Middle,29866,27965,6.8,1902,14400,2032,46299,50382,10089,1997,0
1996,4,Fourth,50010,47994,4.2,2016,19900,3153,73063,81068,9981,1997,0
1996,5,Top,106066,102380,3.6,3686,31400,26341,163807,865249,9623,1997,0
1997,1,Bottom,736,629,17.1,108,2300,634,3671,8228,10120,1998,0
1997,2,Second,12978,11841,9.6,1137,9300,2077,24355,29460,10375,1998,0
1997,3,Middle,31250,29260,6.8,1990,14600,2592,48442,52301,10209,1998,0
1997,4,Fourth,52190,50087,4.2,2104,20000,3994,76185,85376,9944,1998,0
1997,5,Top,111099,107239,3.6,3861,31900,35231,178230,1013360,9705,1998,0
1998,1,Bottom,865,738,17.1,126,2500,726,4091,9532,10210,1999,0
1998,2,Second,14132,12894,9.6,1238,10000,2091,26224,31669,10340,1999,0
1998,3,Middle,33204,31090,6.8,2114,15300,2496,51000,55281,10341,1999,0
1998,4,Fourth,54440,52246,4.2,2194,20900,4630,79970,89541,10086,1999,0
1998,5,Top,115472,111459,3.6,4013,34100,41209,190781,993008,9808,1999,0
1999,1,Bottom,1147,980,17.1,168,2700,784,4631,10500,10239,2000,0
1999,2,Second,15315,13974,9.6,1341,10500,2178,27994,33088,10528,2000,0
1999,3,Middle,35142,32905,6.8,2238,16000,2795,53938,58559,10425,2000,0
1999,4,Fourth,57481,55165,4.2,2317,21900,5059,84441,95211,10120,2000,0
1999,5,Top,117341,113263,3.6,4077,36100,48332,201773,862466,9704,2000,0
2000,1,Bottom,1055,901,17.1,154,2700,801,4556,10828,14041,2001,0
2000,2,Second,15892,14500,9.6,1392,10600,2189,28681,34439,15237,2001,0
2000,3,Middle,36547,34220,6.8,2327,16100,2797,55444,60306,16034,2001,0
2000,4,Fourth,59883,57469,4.2,2414,22500,4819,87202,98214,16674,2001,0
2000,5,Top,131228,126668,3.6,4560,37800,51183,220210,935188,16068,2001,0
2001,1,Bottom,898,767,17.1,131,2400,634,3933,10204,14076,2002,0
2001,2,Second,15799,14416,9.6,1384,10700,1716,28216,34255,15271,2002,0
2001,3,Middle,36762,34421,6.8,2341,16800,1985,55547,61279,16156,2002,0
2001,4,Fourth,61132,58668,4.2,2464,23300,3258,87690,100510,16626,2002,0
2001,5,Top,135580,130869,3.6,4711,37200,29890,202670,1025790,16136,2002,0
2002,1,Bottom,748,639,17.1,109,2600,364,3712,9276,14093,2003,0
2002,2,Second,15498,14140,9.6,1357,10700,1273,27471,34045,15504,2003,0
2002,3,Middle,36759,34419,6.8,2340,16600,1639,54999,61224,16001,2003,0
2002,4,Fourth,61502,59023,4.2,2479,22900,2583,86986,100290,16541,2003,0
2002,5,Top,135864,131143,3.6,4721,38300,21629,195793,1259835,16171,2003,0
2003,1,Bottom,692,591,17.1,101,2400,283,3375,9184,13889,2004,0
2003,2,Second,15356,14011,9.6,1345,10800,1255,27412,34439,14986,2004,0
2003,3,Middle,37067,34707,6.8,2360,17100,1664,55831,62389,15885,2004,0
2003,4,Fourth,62540,60019,4.2,2521,24100,2978,89617,103041,16329,2004,0
2003,5,Top,137805,133016,3.6,4789,40500,26287,204592,1239047,16060,2004,0
2004,1,Bottom,730,623,17.1,107,2400,425,3555,9468,13795,2005,0
2004,2,Second,15878,14487,9.6,1391,11400,1221,28499,34772,14854,2005,0
2004,3,Middle,37386,35006,6.8,2380,18000,1852,57238,63393,15497,2005,0
2004,4,Fourth,63657,61091,4.2,2566,25400,3218,92275,104705,16278,2005,0
2004,5,Top,141220,136313,3.6,4907,42900,37362,221482,1399344,16023,2005,0
2005,1,Bottom,828,707,17.1,121,2600,476,3904,10204,13763,2006,0
2005,2,Second,16543,15094,9.6,1449,11400,1446,29389,36990,14800,2006,0
2005,3,Middle,39254,36754,6.8,2499,18200,2230,59683,65235,15437,2006,0
2005,4,Fourth,66103,63439,4.2,2664,26000,3954,96057,109593,16005,2006,0
2005,5,Top,148303,143150,3.6,5153,44600,48387,241291,1366356,15934,2006,0
2006,1,Bottom,1054,900,17.1,154,2700,630,4384,11604,13668,2007,0
2006,2,Second,18094,16509,9.6,1585,11300,1643,31036,38265,14721,2007,0
2006,3,Middle,40936,38330,6.8,2606,18100,2664,61701,68265,15307,2007,0
2006,4,Fourth,68916,66138,4.2,2778,26000,4868,99784,114882,15961,2007,0
2006,5,Top,155486,150083,3.6,5403,45400,54117,255003,1531982,15820,2007,0
2007,1,Bottom,999,853,17.1,146,3100,602,4701,11485,13654,2008,0
2007,2,Second,18548,16923,9.6,1625,11900,1822,32270,39541,14849,2008,0
2007,3,Middle,43008,40270,6.8,2738,18400,2708,64116,71299,15370,2008,0
2007,4,Fourth,71398,68520,4.2,2878,26600,5241,103239,118739,16014,2008,0
2007,5,Top,155130,149739,3.6,5391,46700,59821,261651,1314859,15985,2008,0
2008,1,Bottom,939,802,17.1,137,2900,479,4319,10722,13714,2009,0
2008,2,Second,17764,16208,9.6,1556,11500,1294,30558,38325,14698,2009,0
2008,3,Middle,41720,39063,6.8,2656,18300,1910,61930,70797,15485,2009,0
2008,4,Fourth,71457,68577,4.2,2880,27100,3556,102113,119303,16092,2009,0
2008,5,Top,160442,154866,3.6,5575,47400,33438,241280,1194911,16196,2009,0
2009,1,Bottom,619,528,17.1,90,2500,304,3423,8929,13830,2010,0
2009,2,Second,15667,14295,9.6,1372,10900,1106,27673,36835,14774,2010,0
2009,3,Middle,39858,37320,6.8,2538,18300,1558,59716,68003,15425,2010,0
2009,4,Fourth,69641,66834,4.2,2807,26400,3084,99125,117325,16099,2010,0
2009,5,Top,158932,153410,3.6,5523,46500,20838,226271,1485001,16132,2010,0
2010,1,Bottom,459,392,17.1,67,2400,172,3031,7276,13480,2011,0
2010,2,Second,14893,13589,9.6,1305,10900,1284,27077,35717,14644,2011,0
2010,3,Middle,38939,36460,6.8,2479,18400,1611,58950,67887,15208,2011,0
2010,4,Fourth,69768,66956,4.2,2812,26700,2887,99355,117347,15860,2011,0
2010,5,Top,157902,152415,3.6,5487,49200,27079,234181,2499999,15996,2011,0
2011,1,Bottom,464,397,17.1,68,2500,141,3105,7653,13447,2012,0
2011,2,Second,15074,13754,9.6,1320,10900,1364,27338,36856,14365,2012,0
2011,3,Middle,39751,37220,6.8,2531,18300,1685,59736,68878,14996,2012,0
2011,4,Fourth,70402,67565,4.2,2838,27400,2949,100751,120121,15687,2012,0
2011,5,Top,166417,160634,3.6,5783,50000,26936,243353,2678570,15888,2012,0
2012,1,Bottom,491,419,17.1,72,2400,250,3141,7656,13481,2013,0
2012,2,Second,15453,14100,9.6,1354,10800,1243,27496,37255,14364,2013,0
2012,3,Middle,40644,38056,6.8,2588,18600,1787,61031,70451,15205,2013,0
2012,4,Fourth,72475,69553,4.2,2921,27300,3167,102941,122705,15687,2013,0
2012,5,Top,169962,164056,3.6,5906,50800,39479,260240,3390445,16084,2013,0
2013,1,Bottom,476,406,17.1,70,2600,280,3356,8490,13590,2014,0
2013,2,Second,16541,15092,9.6,1449,11300,1379,29220,38288,14490,2014,0
2013,3,Middle,41437,38799,6.8,2638,19000,2102,62539,73745,14937,2014,0
2013,4,Fourth,73843,70866,4.2,2976,28100,4415,106357,127551,15333,2014,0
2013,5,Top,172370,166380,3.6,5990,49900,36050,258320,2806120,15820,2014,0
2014,1,Bottom,439,375,17.1,64,2500,223,3162,8627,13808,2015,0
2014,2,Second,16833,15358,9.6,1474,11000,1427,29259,39133,14470,2015,0
2014,3,Middle,42407,39707,6.8,2700,19100,2311,63819,75420,14916,2015,0
2014,4,Fourth,76184,73113,4.2,3071,28300,4353,108836,130984,15445,2015,0
2014,5,Top,176014,169898,3.6,6116,51200,43763,270977,2806200,15618,2015,0
2015,1,Bottom,577,493,17.1,84,2800,264,3641,9531,13126,2016,0
2015,2,Second,17673,16125,9.6,1548,11900,1317,30890,41322,13643,2016,0
2015,3,Middle,44844,41989,6.8,2855,20100,2155,67100,78445,14159,2016,0
2015,4,Fourth,80107,76878,4.2,3229,29600,4313,114020,136512,14320,2016,0
2015,5,Top,186549,180067,3.6,6482,53000,42019,281569,2875204,14236,2016,0
2016,1,Bottom,635,542,17.1,93,2700,294,3628,10204,13348,2017,0
2016,2,Second,18832,17183,9.6,1650,12400,1574,32806,44643,13783,2017,0
2016,3,Middle,46651,43681,6.8,2970,20200,2340,69191,82582,14090,2017,0
2016,4,Fourth,82755,79419,4.2,3336,29600,4601,116955,141658,14402,2017,0
2016,5,Top,193848,187112,3.6,6736,53100,41780,288727,4209180,14334,2017,0
2017,1,Bottom,658,562,17.1,96,2700,322,3680,11224,13090,2018,0
2017,2,Second,19965,18216,9.6,1749,12400,1758,34123,45791,13373,2018,0
2017,3,Middle,48359,45280,6.8,3079,20400,2873,71632,85489,13638,2018,0
