income_year,quintile,earned,govt_transfers,priv_transfers,ibt,taxes,iat,iat_pct_earned,tax_pct_ibt
1979,Bottom,2768,8094,109,10971,1942,9029,326.2,-226.19
1979,Second,13395,2968,72,16435,7798,8637,64.5,35.52
1979,Middle,24019,1611,36,25666,15209,10457,43.5,56.46
1979,Fourth,33946,1067,14,35027,23047,11980,35.3,64.71
1979,Top,66023,1040,10,67073,46648,20425,30.9,69.06
1979,Average,28030,2956,48,31034,18929,12105,43.2,56.81
1980,Bottom,2429,9332,111,11872,1783,10089,415.4,-315.36
1980,Second,13057,3688,74,16819,7420,9399,72.0,28.02
1980,Middle,24043,1869,37,25949,14593,11356,47.2,52.77
1980,Fourth,35108,1299,15,36422,22691,13731,39.1,60.89
1980,Top,67284,1140,10,68434,46618,21816,32.4,67.58
1980,Average,28384,3466,49,31899,18621,13278,46.8,53.22
1981,Bottom,2342,10135,116,12593,1922,10671,455.6,-355.64
1981,Second,13583,4104,77,17764,7502,10262,75.6,24.45
1981,Middle,25339,2150,39,27528,15026,12502,49.3,50.66
1981,Fourth,37667,1552,15,39234,23822,15412,40.9,59.08
1981,Top,72384,1401,10,73795,47371,26424,36.5,63.49
1981,Average,30263,3868,51,34182,19129,15053,49.7,50.26
1982,Bottom,2145,10731,93,12969,2001,10968,511.3,-411.33
1982,Second,13351,4616,62,18029,7398,10631,79.6,20.37
1982,Middle,26095,2508,31,28634,14391,14243,54.6,45.42
1982,Fourth,39146,1717,12,40875,23075,17800,45.5,54.53
1982,Top,77406,1614,8,79028,46641,32387,41.8,58.16
1982,Average,31629,4237,41,35907,18701,17206,54.4,45.6
1983,Bottom,2076,11516,101,13693,2076,11617,559.6,-459.59
1983,Second,13585,4881,67,18533,7155,11378,83.8,16.25
1983,Middle,27025,2659,34,29718,14006,15712,58.1,41.86
1983,Fourth,41267,1898,13,43178,22605,20573,49.9,50.15
1983,Top,84448,1598,9,86055,46788,39267,46.5,53.5
1983,Average,33680,4510,45,38235,18526,19709,58.5,41.48
1984,Bottom,2763,11541,111,14415,2564,11851,428.9,-328.92
1984,Second,15411,4816,74,20301,8124,12177,79.0,20.99
1984,Middle,29405,2778,37,32220,15214,17006,57.8,42.17
1984,Fourth,44657,1831,15,46503,24334,22169,49.6,50.36
1984,Top,93083,1823,10,94916,50869,44047,47.3,52.68
1984,Average,37064,4558,49,41671,20221,21450,57.9,42.13
1985,Bottom,2395,12628,118,15141,2659,12482,521.2,-421.17
1985,Second,15866,4874,79,20819,8351,12468,78.6,21.42
1985,Middle,30997,2781,39,33817,15795,18022,58.1,41.86
1985,Fourth,47055,1714,16,48785,25174,23611,50.2,49.82
1985,Top,99978,1893,10,101881,52460,49421,49.4,50.57
1985,Average,39258,4778,52,44088,20888,23200,59.1,40.9
1986,Bottom,2698,12690,128,15516,2727,12789,474.0,-374.02
1986,Second,16662,5286,86,22034,8415,13619,81.7,18.26
1986,Middle,32632,3047,43,35722,16349,19373,59.4,40.63
1986,Fourth,50007,1805,17,51829,26490,25339,50.7,49.33
1986,Top,122340,1839,11,124190,57823,66367,54.2,45.75
1986,Average,44868,4933,57,49858,22361,27497,61.3,38.72
1987,Bottom,2747,13352,137,16236,2497,13739,500.1,-400.15
1987,Second,17861,5280,91,23232,8126,15106,84.6,15.42
1987,Middle,33997,2949,46,36992,16179,20813,61.2,38.78
1987,Fourth,52409,1897,18,54324,26290,28034,53.5,46.51
1987,Top,105927,1762,12,107701,58620,49081,46.3,53.67
1987,Average,42588,5048,61,47697,22342,25355,59.5,40.46
1988,Bottom,2781,14212,555,17548,2430,15118,543.6,-443.62
1988,Second,18797,5394,405,24596,8445,16151,85.9,14.08
1988,Middle,36061,2931,276,39268,16799,22469,62.3,37.69
1988,Fourth,55174,1876,147,57197,27052,30145,54.6,45.36
1988,Top,113642,1865,108,115615,61794,53821,47.4,52.64
1988,Average,45291,5256,298,50845,23304,27541,60.8,39.19
1989,Bottom,3050,14943,613,18606,2608,15998,524.5,-424.52
1989,Second,19920,5988,451,26359,8251,18108,90.9,9.1
1989,Middle,37835,3012,306,41153,16947,24206,64.0,36.02
1989,Fourth,58098,2194,161,60453,27492,32961,56.7,43.27
1989,Top,117740,2232,117,120089,61703,58386,49.6,50.41
1989,Average,47329,5674,330,53333,23400,29933,63.2,36.76
1990,Bottom,3143,16012,664,19819,2909,16910,538.0,-438.02
1990,Second,19968,6580,488,27036,9109,17927,89.8,10.22
1990,Middle,38706,3458,331,42495,17520,24975,64.5,35.48
1990,Fourth,59144,2351,175,61670,27978,33692,57.0,43.03
1990,Top,115879,2385,128,118392,61806,56586,48.8,51.17
1990,Average,47368,6157,357,53882,23864,30018,63.4,36.63
1991,Bottom,3015,17512,669,21196,2925,18271,606.0,-506.0
1991,Second,19575,7618,507,27700,8735,18965,96.9,3.12
1991,Middle,38798,3963,346,43107,16999,26108,67.3,32.71
1991,Fourth,60089,2717,182,62988,27852,35136,58.5,41.53
1991,Top,116051,2466,131,118648,61302,57346,49.4,50.59
1991,Average,47506,6855,367,54728,23563,31165,65.6,34.4
1992,Bottom,2652,18982,748,22382,3000,19382,730.8,-630.84
1992,Second,19531,8729,562,28822,8414,20408,104.5,-4.49
1992,Middle,39671,4446,382,44499,17266,27233,68.6,31.35
1992,Fourth,62481,3076,201,65758,28303,37455,59.9,40.05
1992,Top,121375,2808,145,124328,64061,60267,49.7,50.35
