income_year,quintile,fed_total,fed_pit,fed_payroll,fed_other,sl_total,sl_sales,sl_income,sl_property_other,total_taxes
1979,Bottom,1133,-100,700,533,809,443,3,363,1942
1979,Second,6567,1700,3500,1367,1231,583,124,525,7798
1979,Middle,13277,5200,6000,2077,1932,791,388,753,15209
1979,Fourth,20102,9500,8000,2602,2945,1062,661,1222,23047
1979,Top,41646,28000,9800,3846,5002,1699,1101,2202,46648
1980,Bottom,934,-100,600,434,849,468,3,379,1783
1980,Second,6097,1800,3300,997,1323,616,132,575,7420
1980,Middle,12535,5400,5700,1435,2058,836,422,799,14593
1980,Fourth,19546,9900,7800,1846,3145,1122,738,1284,22691
1980,Top,41272,28600,9800,2872,5346,1796,1252,2298,46618
1981,Bottom,995,-100,700,395,927,496,3,428,1922
1981,Second,6107,1900,3400,807,1395,653,131,611,7502
1981,Middle,12831,5600,6100,1131,2195,886,443,865,15026
1981,Fourth,20442,10400,8600,1442,3380,1190,798,1391,23822
1981,Top,41522,28700,10700,2122,5849,1904,1394,2550,47371
1982,Bottom,1019,-100,700,419,982,537,3,443,2001
1982,Second,5863,1700,3300,863,1535,707,130,698,7398
1982,Middle,12018,4900,5900,1218,2373,959,469,945,14391
1982,Fourth,19489,9400,8500,1589,3586,1288,852,1445,23075
1982,Top,40208,26600,11200,2408,6433,2061,1555,2816,46641
1983,Bottom,1038,-100,600,538,1038,565,3,470,2076
1983,Second,5532,1400,3100,1032,1623,743,145,735,7155
1983,Middle,11538,4400,5700,1438,2468,1010,485,973,14006
1983,Fourth,18781,8400,8500,1881,3824,1355,916,1553,22605
1983,Top,39996,25500,11600,2896,6792,2169,1664,2959,46788
1984,Bottom,1427,0,800,627,1137,633,5,499,2564
1984,Second,6314,1600,3500,1214,1810,833,190,788,8124
1984,Middle,12495,4600,6200,1695,2719,1131,558,1030,15214
1984,Fourth,20128,8700,9100,2328,4206,1518,1042,1646,24334
1984,Top,43344,27100,12700,3544,7525,2429,1925,3171,50869
1985,Bottom,1443,0,800,643,1216,678,6,532,2659
1985,Second,6462,1600,3600,1262,1889,896,188,805,8351
1985,Middle,12889,4600,6500,1789,2906,1210,604,1092,15795
1985,Fourth,20658,8700,9500,2458,4516,1649,1111,1756,25174
1985,Top,44338,27500,13100,3738,8122,2683,2052,3387,52460
1986,Bottom,1465,0,800,665,1262,706,6,551,2727
1986,Second,6501,1600,3600,1301,1914,900,191,823,8415
1986,Middle,13268,4700,6700,1868,3081,1296,629,1156,16349
1986,Fourth,21689,9000,10100,2589,4801,1764,1162,1874,26490
1986,Top,49244,31200,13900,4144,8579,2843,2148,3589,57823
1987,Bottom,1288,-100,700,688,1209,659,7,542,2497
1987,Second,6040,1200,3500,1340,2086,999,228,859,8126
1987,Middle,12849,4200,6700,1949,3330,1382,712,1236,16179
1987,Fourth,21114,8300,10100,2714,5176,1885,1291,2001,26290
1987,Top,49504,30900,14300,4304,9116,2958,2353,3805,58620
1988,Bottom,1150,-200,700,650,1280,694,7,578,2430
1988,Second,6198,1200,3700,1298,2247,1076,244,928,8445
1988,Middle,13271,4300,7100,1871,3528,1484,730,1314,16799
1988,Fourth,21564,8500,10500,2564,5488,2044,1328,2116,27052
1988,Top,52206,33000,15000,4206,9588,3104,2435,4048,61794
1989,Bottom,1229,-200,800,629,1379,761,9,609,2608
1989,Second,5889,1000,3700,1189,2362,1106,269,986,8251
1989,Middle,13201,4400,7100,1701,3746,1537,818,1391,16947
1989,Fourth,21648,8700,10600,2348,5844,2149,1461,2235,27492
1989,Top,51372,32500,15100,3772,10331,3333,2667,4331,61703
1990,Bottom,1385,-200,900,685,1524,836,10,679,2909
1990,Second,6601,1300,4000,1301,2508,1161,286,1061,9109
1990,Middle,13537,4500,7200,1837,3983,1598,874,1511,17520
1990,Fourth,21833,8600,10700,2533,6145,2218,1556,2371,27978
1990,Top,50699,31200,15400,4099,11107,3589,2858,4659,61806
1991,Bottom,1338,-300,900,738,1587,854,7,726,2925
1991,Second,6150,1100,3800,1250,2585,1205,272,1108,8735
1991,Middle,12898,4300,6900,1698,4101,1659,863,1579,16999
1991,Fourth,21436,8400,10700,2336,6416,2294,1597,2525,27852
1991,Top,49787,30000,16000,3787,11515,3654,2955,4906,61302
1992,Bottom,1368,-300,900,768,1632,851,6,775,3000
1992,Second,5691,800,3600,1291,2723,1296,263,1163,8414
1992,Middle,12906,4100,7000,1806,4360,1788,885,1686,17266
1992,Fourth,21491,8200,10800,2491,6812,2429,1670,2713,28303
1992,Top,51759,31600,16100,4059,12302,3902,3179,5220,64061
1993,Bottom,1158,-400,800,758,1772,948,4,820,2930
1993,Second,5614,700,3600,1314,2833,1347,264,1222,8447
1993,Middle,12940,4000,7000,1940,4546,1821,968,1757,17486
1993,Fourth,21321,8100,10700,2521,7040,2553,1714,2772,28361
1993,Top,53443,32600,16500,4343,12992,4105,3383,5504,66435
1994,Bottom,1075,-600,800,875,1840,959,3,878,2915
1994,Second,5521,400,3700,1421,2988,1433,270,1284,8509
1994,Middle,13069,4000,7100,1969,4722,1975,942,1805,17791
1994,Fourth,21987,8300,11000,2687,7368,2697,1802,2869,29355
1994,Top,55427,33700,17200,4527,13214,4220,3481,5513,68641
1995,Bottom,855,-800,900,755,1972,1036,4,931,2827
1995,Second,6010,600,4000,1410,3202,1560,279,1363,9212
1995,Middle,13419,4200,7300,1919,4876,2061,980,1836,18295
1995,Fourth,22203,8500,11100,2603,7277,2787,1728,2762,29480
1995,Top,58621,36500,17600,4521,14226,4455,3926,5845,72847
1996,Bottom,849,-900,1000,749,2041,1096,4,941,2890
1996,Second,5770,500,4000,1270,3272,1576,300,1396,9042
1996,Middle,13564,4300,7400,1864,4924,2106,1007,1811,18488
1996,Fourth,22632,8800,11400,2432,7667,2906,1861,2900,30299
1996,Top,61998,39900,17800,4298,14590,4630,4089,5871,76588
1997,Bottom,947,-900,1100,747,2152,1121,4,1027,3099
1997,Second,6035,600,4200,1235,3394,1656,316,1421,9429
1997,Middle,13803,4500,7500,1803,5206,2217,1084,1905,19009
1997,Fourth,23158,9200,11600,2358,7919,3019,1984,2916,31077
1997,Top,65999,43300,18300,4399,15173,4726,4362,6085,81172
1998,Bottom,1069,-1000,1200,869,2260,1176,5,1079,3329
1998,Second,6283,500,4400,1383,3498,1678,363,1456,9781
1998,Middle,14108,4300,7900,1908,5434,2220,1204,2010,19542
1998,Fourth,24039,9300,12200,2539,8290,3106,2160,3025,32329
1998,Top,70786,46600,19100,5086,16073,5035,4712,6326,86859
1999,Bottom,1145,-1000,1300,845,2365,1179,6,1180,3510
1999,Second,6516,600,4500,1416,3724,1761,411,1552,10240
1999,Middle,14510,4400,8200,1910,5622,2344,1273,2004,20132
1999,Fourth,24683,9600,12500,2583,8833,3259,2367,3206,33516
1999,Top,76265,51200,19900,5165,16738,5340,4975,6423,93003
2000,Bottom,1130,-800,1200,730,2486,1271,3,1212,3616
2000,Second,6300,500,4500,1300,3919,1885,405,1629,10219
