income_year,group,n_households_M,n_households,earned_income,govt_transfers,priv_transfers,income_after_transfers_taxes,iat_pct_earned,tax_rate_pct,social_insurance,means_tested,fed_pit,fed_payroll,fed_corp,fed_excise,fed_other,fed_total,sl_sales,sl_income,sl_property,sl_other,sl_total,total_taxes,irs_data_available,source
1979,Bottom,19.1,19100000,2768,8094,109,9029,326.2,-226.2,5574,2520,-100,700,0,300,233,1133,443,3,256,107,809,1942,False,CBO
1979,Second,15.5,15500000,13395,2968,72,8637,64.5,35.5,2401,567,1700,3500,0,600,767,6567,583,124,385,140,1231,7798,False,CBO
1979,Middle,14.6,14600000,24019,1611,36,10457,43.5,56.5,1404,207,5200,6000,0,800,1277,13277,791,388,562,191,1932,15209,False,CBO
1979,Fourth,15.1,15100000,33946,1067,14,11980,35.3,64.7,953,114,9500,8000,0,900,1702,20102,1062,661,964,258,2945,23047,False,CBO
1979,Top,16.4,16399999,66023,1040,10,20425,30.9,69.1,968,72,28000,9800,0,1300,2546,41646,1699,1101,1791,411,5002,46648,False,CBO
1979,81-90 pctile,8.0,8000000,117000,861,10,86009,73.5,26.5,789,72,14800,9700,0,1000,1303,26803,1795,1038,1810,416,5059,31862,False,CBO
1979,91-95 pctile,4.2,4200000,144700,861,10,105690,73.0,27.0,825,36,21100,10700,0,1200,1822,34822,1795,1038,1810,416,5059,39881,False,CBO
1979,96-99 pctile,3.4,3400000,209800,1291,9,154569,73.7,26.3,1219,72,36300,9700,0,1500,3211,50711,2069,1269,2002,480,5820,56531,False,CBO
1979,Top 1 percent,0.8,800000,664700,2188,5,476043,71.6,28.4,2116,72,152400,6800,0,3100,15912,178212,4101,4022,3563,952,12638,190850,False,CBO
1980,Bottom,19.4,19400000,2429,9332,111,10089,415.4,-315.4,6365,2967,-100,600,0,300,134,934,468,3,260,119,849,1783,False,CBO
1980,Second,15.7,15700000,13057,3688,74,9399,72.0,28.0,2988,700,1800,3300,0,500,497,6097,616,132,418,157,1323,7420,False,CBO
1980,Middle,15.0,15000000,24043,1869,37,11356,47.2,52.8,1652,217,5400,5700,0,600,835,12535,836,422,586,213,2058,14593,False,CBO
1980,Fourth,15.3,15300000,35108,1299,15,13731,39.1,60.9,1173,126,9900,7800,0,700,1146,19546,1122,738,997,287,3145,22691,False,CBO
1980,Top,16.8,16800000,67284,1140,10,21816,32.4,67.6,1103,37,28600,9800,0,1100,1772,41272,1796,1252,1839,459,5346,46618,False,CBO
1980,81-90 pctile,8.2,8199999,113900,1030,10,82640,72.6,27.4,956,74,15500,9600,0,800,965,26865,1911,1179,1876,469,5435,32300,False,CBO
1980,91-95 pctile,4.3,4300000,142200,993,10,102737,72.2,27.8,956,37,22200,10500,0,1000,1331,35031,1911,1179,1876,469,5435,40466,False,CBO
1980,96-99 pctile,3.5,3500000,201700,1397,9,146164,72.5,27.5,1361,37,37200,10000,0,1300,2225,50725,2187,1427,2066,538,6218,56943,False,CBO
1980,Top 1 percent,0.9,900000,636800,2243,5,457250,71.8,28.2,2170,74,147700,7300,0,2600,10616,168216,4338,4508,3670,1066,13582,181798,False,CBO
1981,Bottom,19.2,19200000,2342,10135,116,10671,455.6,-355.6,6871,3264,-100,700,0,300,95,995,496,3,290,138,927,1922,False,CBO
1981,Second,16.1,16100000,13583,4104,77,10262,75.6,24.4,3353,751,1900,3400,0,500,307,6107,653,131,430,181,1395,7502,False,CBO
1981,Middle,15.3,15300000,25339,2150,39,12502,49.3,50.7,1916,234,5600,6100,0,600,531,12831,886,443,618,247,2195,15026,False,CBO
1981,Fourth,15.4,15400000,37667,1552,15,15412,40.9,59.1,1415,137,10400,8600,0,700,742,20442,1190,798,1059,332,3380,23822,False,CBO
1981,Top,17.2,17200000,72384,1401,10,26424,36.5,63.5,1319,82,28700,10700,0,1000,1122,41522,1904,1394,2017,533,5849,47371,False,CBO
1981,81-90 pctile,8.3,8300000,113900,1236,10,81389,71.5,28.5,1154,82,16100,10300,0,800,556,27756,2054,1320,2078,549,6001,33757,False,CBO
1981,91-95 pctile,4.4,4400000,141600,1195,10,100730,71.1,28.9,1154,41,22800,11500,0,900,874,36074,2054,1320,2078,549,6001,42075,False,CBO
1981,96-99 pctile,3.6,3600000,200000,1648,9,143706,71.9,28.1,1607,41,37500,11000,0,1100,1505,51105,2344,1592,2283,627,6846,57951,False,CBO
1981,Top 1 percent,0.9,900000,633700,2637,5,462964,73.1,26.9,2555,82,140700,8600,0,2300,6764,158364,4661,5042,4063,1248,15014,173378,False,CBO
1982,Bottom,19.0,19000000,2145,10731,93,10968,511.3,-411.3,7311,3420,-100,700,0,300,119,1019,537,3,294,149,982,2001,False,CBO
1982,Second,16.1,16100000,13351,4616,62,10631,79.6,20.4,3863,753,1700,3300,0,500,363,5863,707,130,500,198,1535,7398,False,CBO
1982,Middle,15.5,15500000,26095,2508,31,14243,54.6,45.4,2326,182,4900,5900,0,600,618,12018,959,469,678,267,2373,14391,False,CBO
1982,Fourth,15.6,15600000,39146,1717,12,17800,45.5,54.5,1627,90,9400,8500,0,700,889,19489,1288,852,1084,361,3586,23075,False,CBO
1982,Top,17.4,17400000,77406,1614,8,32387,41.8,58.2,1570,44,26600,11200,0,1000,1408,40208,2061,1555,2238,578,6433,46641,False,CBO
1982,81-90 pctile,8.5,8500000,113200,1440,8,81353,71.9,28.1,1396,44,14600,10500,0,800,754,26654,2250,1472,2320,599,6641,33295,False,CBO
1982,91-95 pctile,4.5,4500000,140600,1396,8,101062,71.9,28.1,1352,44,20300,12000,0,900,1101,34301,2250,1472,2320,599,6641,40942,False,CBO
1982,96-99 pctile,3.6,3600000,200000,1963,7,145300,72.7,27.3,1919,44,34300,11900,0,1100,1824,49124,2559,1765,2540,682,7546,56670,False,CBO
1982,Top 1 percent,0.9,900000,667700,3141,4,493007,73.8,26.2,3054,87,139500,10800,0,2200,8183,160683,5228,5893,4641,1393,17155,177838,False,CBO
1983,Bottom,19.1,19100000,2076,11516,101,11617,559.6,-459.6,7615,3901,-100,600,0,400,138,1038,565,3,319,151,1038,2076,False,CBO
1983,Second,16.6,16600000,13585,4881,67,11378,83.8,16.2,4206,675,1400,3100,0,600,432,5532,743,145,535,200,1623,7155,False,CBO
