income_year,quintile,num_households,hh_per_quintile,total_govt,total_fed,oasdi,ssdi,medicare,medicaid_chip,snap,other_fed,state_local,oasi_shape_source
1979,bottom,80776,16155200,8094,7126,2620,592,716,902,271,2025,968,CBO_T05_social_security
1979,second,80776,16155200,2968,2726,1219,148,286,240,90,743,242,CBO_T05_social_security
1979,middle,80776,16155200,1611,1518,701,57,172,120,30,438,93,CBO_T05_social_security
1979,fourth,80776,16155200,1067,1011,518,34,114,60,0,285,56,CBO_T05_social_security
1979,top,80776,16155200,1040,1003,548,23,143,60,0,229,37,CBO_T05_social_security
1979,average,80776,16155200,2956,2677,1121,171,286,276,78,744,279,
1980,bottom,82368,16473600,9332,8221,2869,656,843,1077,356,2420,1111,CBO_T05_social_security
1980,second,82368,16473600,3688,3385,1451,179,343,287,107,1018,303,CBO_T05_social_security
1980,middle,82368,16473600,1869,1768,810,60,187,144,36,531,101,CBO_T05_social_security
1980,fourth,82368,16473600,1299,1238,574,36,156,72,0,400,61,CBO_T05_social_security
1980,top,82368,16473600,1140,1120,675,12,187,0,0,246,20,CBO_T05_social_security
1980,average,82368,16473600,3466,3146,1276,189,343,316,100,923,319,
1981,bottom,83527,16705400,10135,8975,3176,715,921,1262,414,2487,1160,CBO_T05_social_security
1981,second,83527,16705400,4104,3799,1716,188,428,316,151,1000,305,CBO_T05_social_security
1981,middle,83527,16705400,2150,2048,986,63,263,158,38,540,102,CBO_T05_social_security
1981,fourth,83527,16705400,1552,1491,730,38,197,79,0,447,61,CBO_T05_social_security
1981,top,83527,16705400,1401,1360,803,25,230,0,0,302,41,CBO_T05_social_security
1981,average,83527,16705400,3868,3535,1482,206,408,363,121,955,334,
1982,bottom,83918,16783600,10731,9472,3300,751,1020,1351,421,2629,1259,CBO_T05_social_security
1982,second,83918,16783600,4616,4290,1941,194,510,318,126,1201,326,CBO_T05_social_security
1982,middle,83918,16783600,2508,2421,1242,52,340,79,42,666,87,CBO_T05_social_security
1982,fourth,83918,16783600,1717,1674,854,26,238,79,0,477,43,CBO_T05_social_security
1982,top,83918,16783600,1614,1592,932,13,272,79,0,296,22,CBO_T05_social_security
1982,average,83918,16783600,4237,3890,1654,207,476,381,118,1054,347,
1983,bottom,85290,17058000,11516,10138,3346,780,1129,1551,476,2856,1378,CBO_T05_social_security
1983,second,85290,17058000,4881,4597,2137,161,619,345,130,1205,284,CBO_T05_social_security
1983,middle,85290,17058000,2659,2571,1330,50,364,86,43,698,88,CBO_T05_social_security
1983,fourth,85290,17058000,1898,1854,968,25,291,86,0,484,44,CBO_T05_social_security
1983,top,85290,17058000,1598,1576,968,12,291,0,0,305,22,CBO_T05_social_security
1983,average,85290,17058000,4510,4147,1750,206,539,414,130,1110,363,
1984,bottom,86789,17357800,11541,10183,3468,751,1199,1628,439,2698,1358,CBO_T05_social_security
1984,second,86789,17357800,4816,4517,2157,165,657,383,132,1023,299,CBO_T05_social_security
1984,middle,86789,17357800,2778,2663,1438,64,425,96,44,596,115,CBO_T05_social_security
1984,fourth,86789,17357800,1831,1762,888,38,309,96,0,431,69,CBO_T05_social_security
1984,top,86789,17357800,1823,1800,1142,13,348,0,0,297,23,CBO_T05_social_security
1984,average,86789,17357800,4558,4185,1819,206,588,441,123,1009,373,
1985,bottom,88458,17691600,12628,11133,3659,808,1278,1759,504,3125,1495,CBO_T05_social_security
1985,second,88458,17691600,4874,4589,2265,154,697,370,101,1002,285,CBO_T05_social_security
1985,middle,88458,17691600,2781,2686,1481,51,465,93,0,596,95,CBO_T05_social_security
1985,fourth,88458,17691600,1714,1667,871,26,310,93,0,367,47,CBO_T05_social_security
1985,top,88458,17691600,1893,1846,1176,26,349,0,0,295,47,CBO_T05_social_security
1985,average,88458,17691600,4778,4384,1890,213,620,463,121,1077,394,
1986,bottom,89479,17895800,12690,11119,3728,832,1293,1878,482,2906,1571,CBO_T05_social_security
1986,second,89479,17895800,5286,4962,2515,172,799,376,107,993,324,CBO_T05_social_security
1986,middle,89479,17895800,3047,2922,1572,66,494,188,0,602,125,CBO_T05_social_security
1986,fourth,89479,17895800,1805,1755,898,26,342,94,0,395,50,CBO_T05_social_security
1986,top,89479,17895800,1839,1814,1168,13,342,0,0,291,25,CBO_T05_social_security
1986,average,89479,17895800,4933,4514,1976,222,654,507,118,1037,419,
1987,bottom,91066,18213200,13352,11708,3849,858,1427,2097,529,2948,1644,CBO_T05_social_security
1987,second,91066,18213200,5280,4985,2612,154,856,381,53,929,295,CBO_T05_social_security
1987,middle,91066,18213200,2949,2826,1512,64,489,191,0,570,123,CBO_T05_social_security
1987,fourth,91066,18213200,1897,1823,962,38,326,95,0,402,74,CBO_T05_social_security
1987,top,91066,18213200,1762,1737,1145,13,326,0,0,253,25,CBO_T05_social_security
1987,average,91066,18213200,5048,4616,2016,225,685,553,116,1020,432,
1988,bottom,92830,18566000,14212,12475,4144,903,1493,2274,503,3158,1737,CBO_T05_social_security
1988,second,92830,18566000,5394,5087,2668,159,871,396,101,892,307,CBO_T05_social_security
1988,middle,92830,18566000,2931,2803,1477,66,498,198,0,564,128,CBO_T05_social_security
1988,fourth,92830,18566000,1876,1825,1000,27,332,99,0,367,51,CBO_T05_social_security
1988,top,92830,18566000,1865,1839,1239,13,332,0,0,255,26,CBO_T05_social_security
1988,average,92830,18566000,5256,4806,2106,234,705,593,121,1047,450,
1989,bottom,93347,18669400,14943,13173,4277,914,1650,2440,550,3342,1770,CBO_T05_social_security
1989,second,93347,18669400,5988,5634,2835,183,962,488,110,1056,354,CBO_T05_social_security
1989,middle,93347,18669400,3012,2886,1542,65,550,195,0,534,126,CBO_T05_social_security
1989,fourth,93347,18669400,2194,2118,1144,39,412,98,0,425,76,CBO_T05_social_security
1989,top,93347,18669400,2232,2181,1343,26,412,98,0,302,51,CBO_T05_social_security
1989,average,93347,18669400,5674,5198,2228,245,797,664,132,1132,475,
1990,bottom,94312,18862400,16012,14076,4491,971,1728,2734,661,3491,1936,CBO_T05_social_security
1990,second,94312,18862400,6580,6173,2994,204,1019,683,120,1153,407,CBO_T05_social_security
1990,middle,94312,18862400,3458,3305,1652,77,620,293,0,663,153,CBO_T05_social_security
1990,fourth,94312,18862400,2351,2275,1239,38,443,98,0,457,76,CBO_T05_social_security
1990,top,94312,18862400,2385,2334,1445,26,399,98,0,366,51,CBO_T05_social_security
1990,average,94312,18862400,6157,5633,2364,263,842,781,156,1226,525,
1991,bottom,95669,19133800,17512,15485,4739,1032,1934,3317,716,3747,2027,CBO_T05_social_security
1991,second,95669,19133800,7618,7124,3195,252,1132,933,179,1433,494,CBO_T05_social_security
1991,middle,95669,19133800,3963,3790,1811,88,708,311,60,812,173,CBO_T05_social_security
1991,fourth,95669,19133800,2717,2618,1331,50,425,207,0,605,99,CBO_T05_social_security
1991,top,95669,19133800,2466,2417,1491,25,425,104,0,372,49,CBO_T05_social_security
1991,average,95669,19133800,6855,6287,2513,289,925,974,191,1394,568,
1992,bottom,96426,19285200,18982,16939,4963,1092,2151,3740,797,4196,2043,CBO_T05_social_security
1992,second,96426,19285200,8729,8149,3399,310,1301,1143,245,1751,580,CBO_T05_social_security
1992,middle,96426,19285200,4446,4237,1834,112,800,416,61,1014,209,CBO_T05_social_security
1992,fourth,96426,19285200,3076,2960,1457,62,500,208,0,733,116,CBO_T05_social_security
1992,top,96426,19285200,2808,2738,1564,37,500,104,0,533,70,CBO_T05_social_security
1992,average,96426,19285200,7608,7005,2643,323,1050,1122,221,1645,604,
1993,bottom,97107,19421400,20100,18031,5294,1192,2411,4058,826,4250,2069,CBO_T05_social_security
1993,second,97107,19421400,9591,8968,3640,359,1457,1388,254,1870,623,CBO_T05_social_security
1993,middle,97107,19421400,4632,4410,1820,128,854,534,64,1010,222,CBO_T05_social_security
1993,fourth,97107,19421400,3071,2960,1434,64,553,214,0,695,111,CBO_T05_social_security
1993,top,97107,19421400,2850,2783,1599,38,553,107,0,486,67,CBO_T05_social_security
1993,average,97107,19421400,8049,7430,2757,356,1166,1260,229,1662,618,
1994,bottom,98990,19798000,21116,19034,5661,1271,2718,4203,833,4348,2082,CBO_T05_social_security
1994,second,98990,19798000,9673,9053,3680,379,1608,1401,256,1729,620,CBO_T05_social_security
1994,middle,98990,19798000,4677,4456,1812,135,943,647,64,855,221,CBO_T05_social_security
1994,fourth,98990,19798000,3127,2994,1359,81,610,323,0,621,133,CBO_T05_social_security
1994,top,98990,19798000,2984,2918,1585,41,610,216,0,466,66,CBO_T05_social_security
1994,average,98990,19798000,8315,7691,2819,381,1298,1358,231,1604,624,
